,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
423,Rhys Hoskins,26,0,MLB-NL,Philadelphia,134,592,473,74,113,27,5,25,75,104,5,138,9,0,4,6,1,2,0.239,0.38299999999999995,0.47600000000000003,0.8590000000000001
424,Eric Hosmer,29,0,MLB-NL,San Diego,135,571,529,66,151,26,2,20,90,36,3,124,2,0,4,12,0,2,0.285,0.331,0.456,0.787
425,Adrian Houser,26,5,MLB-NL,Milwaukee,11,21,18,0,1,1,0,0,0,1,0,13,0,2,0,0,0,0,0.055999999999999994,0.105,0.111,0.21600000000000003
426,Dakota Hudson,24,1,MLB-NL,St. Louis,23,49,42,0,2,0,0,0,0,0,0,20,1,6,0,1,0,0,0.048,0.07,0.048,0.11699999999999999
427,Jared Hughes,33,18,MLB-NL,Cincinnati,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
428,Nick Hundley,35,85,MLB-AL,Oakland,31,73,70,5,14,3,1,2,5,2,0,18,1,0,0,7,0,0,0.2,0.233,0.35700000000000004,0.59
429,Chris Iannetta,36,22,MLB-NL,Colorado,52,164,144,20,32,10,0,6,21,18,3,54,1,0,1,9,0,0,0.222,0.311,0.41700000000000004,0.728
430,Jose Iglesias,29,0,MLB-NL,Cincinnati,126,457,435,56,128,18,3,9,50,16,3,62,3,1,2,15,5,5,0.294,0.322,0.41100000000000003,0.7340000000000001
431,Raisel Iglesias,29,29,MLB-NL,Cincinnati,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
432,Ender Inciarte,28,16,MLB-NL,Atlanta,65,230,199,30,49,11,2,5,24,26,2,41,4,0,1,1,7,0,0.24600000000000002,0.34299999999999997,0.397,0.74
433,Cole Irvin,25,37,MLB-NL,Philadelphia,6,8,6,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0.16699999999999998,0.375,0.16699999999999998,0.542
434,Alex Jackson,23,9,MLB-NL,Atlanta,4,15,13,0,0,0,0,0,0,1,1,5,1,0,0,1,0,0,0.0,0.133,0.0,0.133
435,Drew Jackson,25,150,MLB-AL,Baltimore,3,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.25,0.0,0.25
436,Edwin Jackson,35,93,MLB-AL,Toronto,2,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
437,Jay Jackson,31,47,MLB-NL,Milwaukee,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
438,Travis Jankowski,28,0,MLB-NL,San Diego,6,6,6,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.33299999999999996
439,Danny Jansen,24,1,MLB-AL,Toronto,98,348,314,36,66,12,1,12,42,28,0,72,4,1,1,7,0,0,0.21,0.282,0.369,0.652
440,Kenley Jansen,31,148,MLB-NL,Los Angeles,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
441,Jon Jay,34,5,MLB-AL,Chicago,47,182,165,12,44,8,0,0,9,8,0,30,3,5,1,1,0,0,0.267,0.311,0.315,0.626
443,Jeremy Jeffress,31,15,MLB-NL,Milwaukee,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
444,Eloy Jimenez,22,0,MLB-AL,Chicago,99,401,372,50,91,10,1,22,54,25,0,109,2,0,2,8,0,0,0.245,0.294,0.45399999999999996,0.7490000000000001
445,Connor Joe,26,147,MLB-NL,San Francisco,8,16,15,1,1,0,0,0,0,1,0,5,0,0,0,1,0,0,0.067,0.125,0.067,0.192
446,Brian Johnson,28,7,MLB-AL,Boston,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
447,Adam Jones,33,1,MLB-NL,Arizona,122,472,435,63,117,24,1,15,61,25,2,88,8,0,3,14,2,1,0.26899999999999996,0.318,0.43200000000000005,0.7509999999999999
448,JaCoby Jones,27,24,MLB-AL,Detroit,88,333,298,39,70,19,3,11,26,27,2,94,6,1,1,6,7,2,0.235,0.31,0.43,0.74
449,Caleb Joseph,33,67,MLB-NL,Arizona,12,31,28,4,4,2,0,0,2,1,0,8,1,1,0,0,0,0,0.14300000000000002,0.2,0.214,0.414
450,Corban Joseph,30,3,MLB-AL,Oakland,11,40,37,4,7,2,0,1,5,2,0,5,0,0,1,2,0,0,0.18899999999999997,0.225,0.324,0.5489999999999999
451,Matthew Joyce,34,1,MLB-NL,Atlanta,103,174,148,23,43,9,0,5,19,26,0,34,0,0,0,2,0,0,0.29100000000000004,0.397,0.45299999999999996,0.8490000000000001
452,Aaron Judge,27,0,MLB-AL,New York,81,358,302,57,84,15,0,19,43,52,4,109,2,0,1,9,3,0,0.278,0.387,0.517,0.903
453,Jakob Junis,26,56,MLB-AL,Kansas City,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
454,Ariel Jurado,23,77,MLB-AL,Texas,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
455,Jung Ho Kang,32,34,MLB-NL,Pittsburgh,65,185,172,15,29,7,1,10,24,11,0,60,1,0,1,4,0,0,0.16899999999999998,0.222,0.395,0.617
456,Brad Keller,23,39,MLB-AL,Kansas City,3,10,8,0,1,0,0,0,1,1,0,5,0,1,0,0,0,0,0.125,0.222,0.125,0.34700000000000003
457,Mitch Keller,23,4,MLB-NL,Pittsburgh,6,8,8,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.0,0.0,0.0,0.0
458,Carson Kelly,24,1,MLB-NL,Arizona,95,309,266,38,69,17,0,18,43,40,10,62,2,0,1,10,0,0,0.259,0.359,0.526,0.8859999999999999
459,Joe Kelly,31,74,MLB-NL,Los Angeles,3,3,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0.0,0.0,0.0
460,Merrill Kelly,30,3,MLB-NL,Arizona,24,49,42,3,1,0,0,0,2,2,0,19,0,5,0,2,0,0,0.024,0.068,0.024,0.092
461,Matt Kemp,34,133,MLB-NL,Cincinnati,20,62,60,4,12,2,0,1,5,1,0,19,0,0,1,2,0,0,0.2,0.21,0.28300000000000003,0.493
462,Tony Kemp,27,0,"MLB-NL,MLB-AL","Chicago,Houston",90,240,212,25,45,7,3,7,22,18,1,41,5,1,4,4,4,4,0.212,0.285,0.373,0.657
463,Howie Kendrick,35,0,MLB-NL,Washington,100,308,277,50,91,22,0,14,56,23,1,44,3,0,5,9,2,1,0.32899999999999996,0.38,0.56,0.9390000000000001
464,Max Kepler,26,0,MLB-AL,Minnesota,124,559,492,94,126,31,0,36,88,57,0,89,6,0,4,5,1,5,0.256,0.33799999999999997,0.539,0.877
465,Clayton Kershaw,31,1,MLB-NL,Los Angeles,23,56,43,1,5,1,0,0,1,1,0,12,0,12,0,0,0,0,0.11599999999999999,0.136,0.14,0.276
466,Dallas Keuchel,31,1,MLB-NL,Atlanta,14,31,29,0,4,1,0,0,2,1,0,21,0,1,0,0,0,0,0.138,0.16699999999999998,0.172,0.33899999999999997
467,Carter Kieboom,21,118,MLB-NL,Washington,11,43,39,4,5,0,0,2,2,4,1,16,0,0,0,0,0,0,0.128,0.209,0.282,0.491
469,Kevin Kiermaier,29,0,MLB-AL,Tampa Bay,111,425,398,54,96,18,7,13,53,24,2,88,1,1,1,7,19,4,0.24100000000000002,0.285,0.42,0.705
470,Isiah Kiner-Falefa,24,0,MLB-AL,Texas,55,181,163,19,39,11,1,1,20,13,0,42,3,1,1,7,2,0,0.239,0.306,0.337,0.643
471,Scott Kingery,25,0,MLB-NL,Philadelphia,102,408,373,52,103,31,3,15,47,29,1,117,5,0,1,3,10,3,0.276,0.336,0.496,0.8320000000000001
472,Nick Kingham,27,92,MLB-NL,Pittsburgh,6,8,6,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0.0,0.25,0.0,0.25
473,Tyler Kinley,28,9,MLB-NL,Miami,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
474,Ian Kinsler,37,20,MLB-NL,San Diego,87,281,258,28,56,12,0,9,22,19,0,54,3,0,1,5,2,3,0.217,0.278,0.368,0.6459999999999999
475,Jason Kipnis,32,1,MLB-AL,Cleveland,111,472,421,48,104,21,1,16,62,39,2,82,1,5,6,7,7,1,0.247,0.308,0.41600000000000004,0.7240000000000001
476,Corey Kluber,33,123,MLB-AL,Cleveland,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
477,Andrew Knapp,27,1,MLB-NL,Philadelphia,64,122,101,10,20,4,0,1,5,16,1,37,3,2,0,2,0,0,0.198,0.325,0.267,0.5920000000000001
478,Andrew Knizner,24,0,MLB-NL,St. Louis,14,50,46,6,9,2,0,2,6,3,0,12,1,0,0,3,2,0,0.196,0.26,0.37,0.63
479,Matt Koch,28,127,MLB-NL,Arizona,4,6,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0
480,Adam Kolarek,30,19,"MLB-NL,MLB-AL","Los Angeles,Tampa Bay",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
481,Kevin Kramer,25,56,MLB-NL,Pittsburgh,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1.0,,
482,Erik Kratz,39,95,"MLB-NL,MLB-AL","San Francisco,Tampa Bay",21,53,49,1,5,2,0,1,3,2,0,14,2,0,0,0,0,0,0.102,0.17,0.204,0.374
483,Joel Kuhnel,24,16,MLB-NL,Cincinnati,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
484,Tommy La Stella,30,61,MLB-AL,Los Angeles,78,312,283,49,85,7,0,16,44,20,0,27,3,0,0,8,0,0,0.3,0.353,0.495,0.848
485,Juan Lagares,30,0,MLB-NL,New York,112,252,228,30,46,11,1,2,19,19,3,68,2,2,1,6,3,1,0.20199999999999999,0.268,0.285,0.5529999999999999
486,Jake Lamb,28,0,MLB-NL,Arizona,58,176,147,23,30,6,2,5,21,24,1,45,4,0,1,4,0,0,0.204,0.33,0.374,0.7040000000000001
487,Peter Lambert,22,4,MLB-NL,Colorado,14,27,24,2,8,0,0,0,2,2,0,9,0,1,0,1,0,0,0.33299999999999996,0.385,0.33299999999999996,0.718
488,Dinelson Lamet,26,2,MLB-NL,San Diego,9,17,15,1,1,0,0,0,0,0,0,8,0,2,0,0,0,0,0.067,0.067,0.067,0.133
489,Eric Lauer,24,0,MLB-NL,San Diego,24,42,34,1,3,2,0,0,0,1,0,21,0,6,0,0,0,0,0.08800000000000001,0.114,0.147,0.261
490,Ramon Laureano,24,35,MLB-AL,Oakland,107,419,380,67,108,26,0,21,58,22,0,113,10,0,7,6,12,2,0.284,0.33399999999999996,0.518,0.853
491,Ryan Lavarnway,31,36,MLB-NL,Cincinnati,5,19,18,4,5,2,0,2,7,1,0,5,0,0,0,0,0,0,0.278,0.316,0.722,1.038
492,Mike Leake,31,5,"MLB-NL,MLB-AL","Arizona,Seattle",6,12,10,0,1,0,0,0,0,1,0,6,0,1,0,0,0,0,0.1,0.182,0.1,0.282
493,Wade LeBlanc,34,67,MLB-AL,Seattle,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,1.0,,
495,DJ LeMahieu,30,0,MLB-AL,New York,124,558,511,96,171,28,2,24,90,40,0,77,2,1,4,11,4,1,0.335,0.382,0.5379999999999999,0.9209999999999999
496,Sandy Leon,30,1,MLB-AL,Boston,55,166,149,12,27,2,0,5,16,11,0,41,1,4,1,0,0,0,0.18100000000000002,0.24100000000000002,0.295,0.536
497,Jon Lester,35,3,MLB-NL,Chicago,23,43,39,4,7,1,0,1,5,4,0,15,0,0,0,1,0,0,0.179,0.256,0.282,0.5379999999999999
498,Domingo Leyba,23,46,MLB-NL,Arizona,10,10,9,1,3,1,0,0,1,1,0,4,0,0,0,0,0,0,0.33299999999999996,0.4,0.444,0.8440000000000001
499,Tzu-Wei Lin,25,121,MLB-AL,Boston,13,22,20,3,4,2,0,0,1,2,0,6,0,0,0,0,1,0,0.2,0.273,0.3,0.573
500,Francisco Lindor,25,0,MLB-AL,Cleveland,118,540,493,80,146,34,2,26,62,38,7,80,3,1,5,12,19,3,0.29600000000000004,0.34700000000000003,0.531,0.878
501,Francisco Liriano,35,108,MLB-NL,Pittsburgh,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0
502,Tim Locastro,26,0,MLB-NL,Arizona,76,213,180,35,46,9,2,1,15,13,0,35,18,1,1,0,13,0,0.256,0.363,0.344,0.708
503,Walker Lockett,25,27,MLB-NL,New York,4,7,6,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0.16699999999999998,0.28600000000000003,0.16699999999999998,0.452
504,Shed Long,23,80,MLB-AL,Seattle,19,79,69,9,16,7,0,1,5,10,0,20,0,0,0,1,3,0,0.23199999999999998,0.32899999999999996,0.377,0.706
505,Evan Longoria,33,0,MLB-NL,San Francisco,106,409,369,52,98,18,2,18,61,32,0,87,5,0,3,11,2,1,0.266,0.33,0.47200000000000003,0.802
506,Tim Lopes,25,0,MLB-AL,Seattle,24,86,73,8,21,4,0,1,11,11,0,18,1,0,1,1,3,2,0.28800000000000003,0.384,0.384,0.767
507,Nicky Lopez,24,0,MLB-AL,Kansas City,90,358,338,37,78,17,1,2,25,15,0,50,1,4,0,5,1,0,0.231,0.266,0.305,0.57
508,Pablo Lopez,23,1,MLB-NL,Miami,16,28,27,1,5,1,0,0,3,0,0,15,0,1,0,0,0,0,0.185,0.185,0.222,0.40700000000000003
509,Reynaldo Lopez,25,28,MLB-AL,Chicago,2,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
510,Michael Lorenzen,27,0,MLB-NL,Cincinnati,38,17,15,5,5,1,0,0,2,2,0,6,0,0,0,1,3,1,0.33299999999999996,0.41200000000000003,0.4,0.812
511,Brandon Lowe,24,61,MLB-AL,Tampa Bay,76,307,279,40,77,17,2,16,49,22,0,104,5,0,1,1,5,0,0.276,0.33899999999999997,0.523,0.862
512,Nate Lowe,23,0,MLB-AL,Tampa Bay,31,120,106,19,32,7,0,6,15,11,0,31,2,0,1,3,0,0,0.302,0.375,0.5379999999999999,0.9129999999999999
513,Joey Lucchesi,26,1,MLB-NL,San Diego,24,48,42,0,3,0,0,0,1,1,0,31,0,5,0,0,0,0,0.071,0.09300000000000001,0.071,0.16399999999999998
514,Elvis Luciano,19,93,MLB-AL,Toronto,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
515,Jonathan Lucroy,33,0,"MLB-AL,MLB-NL","Los Angeles,Chicago",87,309,277,29,66,10,1,7,34,24,1,48,5,0,3,16,0,0,0.23800000000000002,0.307,0.35700000000000004,0.665
516,Dawel Lugo,24,0,MLB-AL,Detroit,54,194,183,16,43,6,4,3,17,5,0,41,3,0,3,4,0,0,0.235,0.263,0.361,0.624
517,Jordan Luplow,25,27,MLB-AL,Cleveland,69,216,192,31,52,13,0,11,29,22,0,53,1,0,1,5,3,2,0.271,0.34700000000000003,0.51,0.858
518,Jordan Lyles,28,4,MLB-NL,"Pittsburgh,Milwaukee",19,37,35,2,3,0,0,0,4,1,0,20,1,0,0,1,0,0,0.086,0.135,0.086,0.221
519,Lance Lynn,32,144,MLB-AL,Texas,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
521,Tyler Lyons,31,116,MLB-NL,Pittsburgh,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
522,Manny Machado,26,0,MLB-NL,San Diego,132,567,509,73,136,20,2,28,76,51,2,112,4,0,3,20,5,2,0.267,0.337,0.479,0.816
523,Kenta Maeda,31,4,MLB-NL,Los Angeles,28,56,46,3,12,2,0,0,6,0,0,13,0,10,0,0,0,0,0.261,0.261,0.304,0.565
524,Tyler Mahle,24,0,MLB-NL,Cincinnati,20,36,31,4,3,1,0,0,0,1,0,17,0,4,0,0,0,0,0.09699999999999999,0.125,0.129,0.254
525,Mikie Mahtook,29,144,MLB-AL,Detroit,9,25,23,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0.0,0.08,0.0,0.08
526,Luke Maile,28,40,MLB-AL,Toronto,41,120,111,9,17,2,1,2,9,7,0,29,0,2,0,1,1,0,0.153,0.203,0.243,0.447
527,Martin Maldonado,32,1,"MLB-NL,MLB-AL","Chicago,Kansas City,Houston",91,326,293,37,62,16,0,9,22,25,1,75,5,2,1,11,0,0,0.212,0.284,0.358,0.642
528,Trey Mancini,27,0,MLB-AL,Baltimore,129,563,501,89,138,30,2,29,76,53,3,118,6,0,3,17,1,0,0.275,0.35,0.517,0.867
529,Nick Margevicius,23,77,MLB-NL,San Diego,12,17,15,1,3,0,0,0,0,0,0,7,0,2,0,0,0,0,0.2,0.2,0.2,0.4
530,Manuel Margot,24,0,MLB-NL,San Diego,126,373,335,54,81,19,1,11,31,34,1,70,2,2,0,6,19,2,0.242,0.315,0.40299999999999997,0.718
531,Jake Marisnick,28,0,MLB-AL,Houston,102,278,255,43,61,16,2,9,31,14,0,84,6,3,0,6,10,2,0.239,0.295,0.424,0.718
532,Nick Markakis,35,37,MLB-NL,Atlanta,104,416,366,57,104,22,2,9,55,43,1,53,2,0,5,9,2,0,0.284,0.358,0.429,0.787
533,Parker Markel,28,1,MLB-NL,Pittsburgh,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
534,German Marquez,24,10,MLB-NL,Colorado,24,58,48,5,11,4,1,0,11,0,0,14,0,10,0,1,0,0,0.22899999999999998,0.22899999999999998,0.354,0.583
535,Deven Marrero,28,19,MLB-NL,Miami,5,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
536,Ketel Marte,25,0,MLB-NL,Arizona,129,569,515,89,165,29,8,28,77,48,2,78,4,0,2,7,9,2,0.32,0.381,0.5710000000000001,0.9520000000000001
537,Starling Marte,30,0,MLB-NL,Pittsburgh,126,570,525,95,155,31,5,23,79,23,0,89,16,2,4,15,25,6,0.295,0.342,0.505,0.846
538,Jason Martin,23,70,MLB-NL,Pittsburgh,19,39,36,4,9,2,0,0,2,3,0,10,0,0,0,0,2,0,0.25,0.308,0.306,0.613
539,Leonys Martin,31,73,MLB-AL,Cleveland,65,264,236,32,47,7,0,9,19,21,0,78,4,3,0,1,4,5,0.19899999999999998,0.276,0.34299999999999997,0.619
540,Richie Martin,24,0,MLB-AL,Baltimore,104,281,257,25,50,6,3,4,15,14,0,78,5,4,1,6,8,1,0.195,0.249,0.28800000000000003,0.537
541,Russell Martin,36,0,MLB-NL,Los Angeles,72,223,186,26,40,4,0,5,16,27,3,51,8,0,2,1,0,0,0.215,0.336,0.317,0.654
542,Carlos Martinez,27,5,MLB-NL,St. Louis,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
543,J.D. Martinez,31,0,MLB-AL,Boston,125,568,498,89,158,30,2,34,93,61,8,111,4,0,4,17,1,0,0.317,0.39299999999999996,0.59,0.9840000000000001
544,Jose Martinez,30,0,MLB-NL,St. Louis,112,353,315,43,84,12,0,10,40,34,0,73,2,0,2,14,3,0,0.267,0.34,0.4,0.74
545,Nick Martini,29,0,"MLB-AL,MLB-NL","Oakland,San Diego",9,22,20,2,4,1,0,1,2,2,0,8,0,0,0,0,0,0,0.2,0.273,0.4,0.6729999999999999
547,Jeff Mathis,36,0,MLB-AL,Texas,82,234,218,17,35,8,0,2,11,15,1,80,0,0,1,2,1,0,0.161,0.214,0.225,0.43799999999999994
548,Phil Maton,26,62,MLB-NL,San Diego,4,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5
549,Steven Matz,28,1,MLB-NL,New York,27,51,48,4,12,0,0,1,1,0,0,15,0,3,0,0,0,0,0.25,0.25,0.313,0.563
550,Dustin May,21,6,MLB-NL,Los Angeles,4,10,10,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0.1,0.2
551,Cameron Maybin,32,1,MLB-AL,New York,65,220,196,40,57,15,0,8,26,24,0,59,0,0,0,5,7,3,0.29100000000000004,0.368,0.49,0.858
552,Jack Mayfield,28,11,MLB-AL,Houston,19,54,53,6,7,5,0,1,3,1,0,13,0,0,0,0,0,0,0.132,0.14800000000000002,0.28300000000000003,0.431
553,Nomar Mazara,24,0,MLB-AL,Texas,110,444,407,65,109,27,1,17,62,26,2,101,6,0,5,5,4,1,0.268,0.318,0.46399999999999997,0.782
554,Chris Mazza,29,45,MLB-NL,New York,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
555,Brian McCann,35,0,MLB-NL,Atlanta,74,277,242,26,63,8,0,10,39,27,1,46,2,0,6,8,0,0,0.26,0.332,0.41700000000000004,0.7490000000000001
556,James McCann,29,0,MLB-AL,Chicago,102,410,379,55,104,22,1,15,50,24,1,117,6,1,0,10,4,1,0.27399999999999997,0.32799999999999996,0.456,0.784
557,Andrew McCutchen,32,90,MLB-NL,Philadelphia,59,262,219,45,56,12,1,10,29,43,0,55,0,0,0,1,2,1,0.256,0.37799999999999995,0.457,0.8340000000000001
558,T.J. McFarland,30,72,MLB-NL,Arizona,4,5,3,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0.0,0.0,0.0,0.0
559,Kyle McGowin,27,95,MLB-NL,Washington,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.667
560,Reese McGuire,24,0,MLB-AL,Toronto,16,55,53,7,15,2,0,4,6,1,0,11,0,0,0,1,0,0,0.28300000000000003,0.29600000000000004,0.547,0.843
561,Brendan McKay,23,15,MLB-AL,Tampa Bay,3,6,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.16699999999999998,0.0,0.16699999999999998
562,Billy McKinney,24,0,MLB-AL,Toronto,67,231,213,30,46,13,1,9,22,13,0,57,2,2,1,0,0,1,0.21600000000000003,0.266,0.413,0.68
563,Ryan McMahon,24,0,MLB-NL,Colorado,119,457,407,61,106,21,1,19,73,49,1,137,0,0,1,10,5,1,0.26,0.33899999999999997,0.457,0.7959999999999999
564,Jeff McNeil,27,0,MLB-NL,New York,112,470,424,68,137,33,1,16,57,28,2,65,18,0,0,4,4,3,0.32299999999999995,0.389,0.519,0.9079999999999999
565,Alex McRae,26,83,MLB-NL,Pittsburgh,3,4,3,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.667
566,Austin Meadows,24,0,MLB-AL,Tampa Bay,115,490,445,60,123,25,7,24,70,39,5,115,6,0,0,2,9,4,0.276,0.34299999999999997,0.526,0.8690000000000001
567,John Means,26,39,MLB-AL,Baltimore,2,3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0
568,Francisco Mejia,23,4,MLB-NL,San Diego,70,222,205,26,54,8,2,8,20,12,1,49,4,0,1,6,1,0,0.263,0.315,0.439,0.754
569,Tim Melville,29,6,MLB-NL,Colorado,2,4,3,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.667
570,Conner Menez,24,23,MLB-NL,San Francisco,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
571,Daniel Mengden,26,67,MLB-AL,Oakland,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
573,Oscar Mercado,24,0,MLB-AL,Cleveland,90,375,343,54,92,19,2,10,35,20,0,63,5,5,2,7,12,3,0.268,0.316,0.423,0.7390000000000001
574,Jordy Mercer,32,0,MLB-AL,Detroit,58,217,206,16,55,12,0,7,15,9,1,44,2,0,0,2,0,0,0.267,0.304,0.42700000000000005,0.731
575,Whit Merrifield,30,0,MLB-AL,Kansas City,138,628,578,91,173,33,9,16,69,41,4,102,5,0,4,7,17,8,0.299,0.349,0.47100000000000003,0.8190000000000001
576,Miles Mikolas,30,0,MLB-NL,St. Louis,27,54,51,0,7,1,0,0,2,0,0,23,0,3,0,0,0,0,0.13699999999999998,0.13699999999999998,0.157,0.294
577,Wade Miley,32,35,MLB-AL,Houston,3,6,4,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0,0.2,0.0,0.2
578,Brad Miller,29,0,"MLB-NL,MLB-AL","Philadelphia,Cleveland",58,118,103,15,24,5,1,6,15,14,0,31,1,0,0,1,2,0,0.233,0.331,0.47600000000000003,0.8059999999999999
579,Shelby Miller,28,77,MLB-AL,Texas,2,3,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0.0,0.667,0.0,0.667
580,Alec Mills,27,18,MLB-NL,Chicago,4,8,8,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.125,0.125,0.125,0.25
581,Mike Minor,31,21,MLB-AL,Texas,4,10,9,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0.0,0.0,0.0,0.0
582,Yadier Molina,36,0,MLB-NL,St. Louis,89,348,325,37,90,20,0,8,48,16,0,40,3,0,4,13,4,0,0.27699999999999997,0.313,0.41200000000000003,0.726
583,Yoan Moncada,24,0,MLB-AL,Chicago,107,451,413,62,119,23,3,22,64,32,1,130,3,1,2,1,7,3,0.28800000000000003,0.342,0.518,0.86
584,Adalberto Mondesi,23,0,MLB-AL,Kansas City,83,365,340,50,93,17,9,7,52,16,0,102,0,3,6,4,34,4,0.27399999999999997,0.301,0.43799999999999994,0.7390000000000001
585,Frankie Montas,26,119,MLB-AL,Oakland,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5
586,Mike Montgomery,29,61,MLB-NL,Chicago,4,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.2,0.4
587,Dylan Moore,26,0,MLB-AL,Seattle,95,227,195,25,41,11,2,7,21,23,0,73,8,1,0,6,7,8,0.21,0.319,0.395,0.713
588,Kendrys Morales,36,82,MLB-AL,"Oakland,New York",53,201,170,16,33,2,1,2,12,26,0,26,4,0,1,6,0,0,0.19399999999999998,0.313,0.253,0.5660000000000001
589,Colin Moran,26,0,MLB-NL,Pittsburgh,131,436,402,43,117,26,1,13,77,28,4,100,2,0,4,10,0,0,0.29100000000000004,0.337,0.45799999999999996,0.795
590,Adrian Morejon,20,42,MLB-NL,San Diego,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
591,Mitch Moreland,33,0,MLB-AL,Boston,71,255,225,35,55,13,1,14,46,28,0,55,0,0,2,10,1,0,0.244,0.325,0.498,0.823
592,Max Moroff,26,123,MLB-AL,Cleveland,20,35,32,3,4,1,0,1,4,2,0,16,0,1,0,0,1,0,0.125,0.17600000000000002,0.25,0.426
593,Logan Morrison,31,1,MLB-NL,Philadelphia,12,18,16,3,4,1,0,1,1,2,0,3,0,0,0,0,0,0,0.25,0.33299999999999996,0.5,0.833
