,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
311,Greg Garcia,29,0,MLB-NL,San Diego,109,290,249,44,63,12,3,4,29,35,0,67,3,1,2,3,0,2,0.253,0.349,0.373,0.723
313,Jarlin Garcia,26,73,MLB-NL,Miami,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
314,Leury Garcia,28,0,MLB-AL,Chicago,124,546,509,84,139,25,3,7,38,18,0,126,6,10,3,6,15,4,0.273,0.304,0.375,0.679
315,Rico Garcia,25,5,MLB-NL,Colorado,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
316,Robel Garcia,26,0,MLB-NL,Chicago,20,64,60,6,13,2,2,4,8,3,0,26,0,0,1,2,0,0,0.217,0.25,0.517,0.767
317,Yimi Garcia,28,21,MLB-NL,Los Angeles,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0
318,Brett Gardner,35,0,MLB-AL,New York,119,460,410,71,102,23,7,19,55,45,0,83,3,0,2,5,9,2,0.249,0.326,0.478,0.804
319,Kyle Garlick,27,14,MLB-NL,Los Angeles,30,53,48,8,12,4,0,3,6,5,1,19,0,0,0,0,0,0,0.25,0.321,0.521,0.8420000000000001
320,Dustin Garneau,31,17,MLB-AL,"Los Angeles,Oakland",35,101,86,14,21,5,0,3,14,10,0,22,4,0,0,1,0,0,0.244,0.35,0.40700000000000003,0.757
321,Mitch Garver,28,1,MLB-AL,Minnesota,76,300,265,58,72,12,1,26,57,29,0,75,5,0,1,5,0,0,0.272,0.353,0.619,0.972
322,Kevin Gausman,28,30,MLB-NL,Atlanta,14,27,27,1,1,0,0,0,0,0,0,18,0,0,0,1,0,0,0.037000000000000005,0.037000000000000005,0.037000000000000005,0.07400000000000001
323,Scooter Gennett,29,6,MLB-NL,"San Francisco,Cincinnati",42,139,133,15,30,7,0,2,11,2,0,41,2,0,2,1,0,0,0.226,0.245,0.32299999999999995,0.568
324,Mike Gerber,26,118,MLB-NL,San Francisco,4,16,15,0,1,1,0,0,0,1,0,9,0,0,0,0,0,0,0.067,0.125,0.133,0.258
325,Domingo German,26,7,MLB-AL,New York,3,8,8,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0.0,0.0,0.0,0.0
326,Kyle Gibson,31,18,MLB-AL,Minnesota,2,4,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0.0,0.5,0.0,0.5
327,Lucas Giolito,24,0,MLB-AL,Chicago,2,4,4,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0.25,0.25,0.25,0.5
