Season_bat,Name_bat,Team_bat,Age_bat,Points_bat,G_bat,PA_bat,AB_bat,AVG_bat,H_bat,1B_bat,2B_bat,3B_bat,HR_bat,R_bat,RBI_bat,BB_bat,IBB_bat,SO_bat,HBP_bat,SB_bat,CS_bat,HBP.1_bat,SO.1_bat,Pitches_bat,NumPlayers_bat,Season_pit,Name_pit,Team_pit,Age_pit,Points_pit,W_pit,L_pit,ERA_pit,WAR_pit,G_pit,GS_pit,CG_pit,ShO_pit,SV_pit,BS_pit,IP_pit,H_pit,R_pit,HR_pit,BB_pit,IBB_pit,HBP_pit,BK_pit,SO_pit,Pitches_pit,NumPlayers_pit,TBF_pit,ER_pit
2011.0,X,X,26259.0,99613.0,58243.0,185245.0,165705.0,185.62199999999973,42267.0,28418.0,8399.0,898.0,4552.0,20808.0,19804.0,15018.0,1231.0,34488.0,1554.0,3279.0,1261.0,,,707845.0,934.0,2011.0,X,X,18321.0,72046.40000000088,2429.0,2429.0,3036.970000000001,429.19999999999914,18748.0,4858.0,173.0,75.0,1243.0,582.0,43374.79999999946,42267.0,20808.0,4552.0,15018.0,1231.0,1554.0,169.0,34488.0,707825.0,659.0,185241.0,19067.0
2010.0,X,X,26720.0,101949.0,60092.0,185553.0,165353.0,183.8249999999996,42554.0,28589.0,8486.0,866.0,4613.0,21307.0,20288.0,15778.0,1216.0,34306.0,1549.0,2957.0,1128.0,,,710398.0,944.0,2010.0,X,X,17627.0,69184.30000000063,2430.0,2429.0,3148.0600000000013,429.79999999999984,18781.0,4859.0,165.0,59.0,1204.0,541.0,43157.09999999955,42545.0,21298.0,4613.0,15772.0,1216.0,1546.0,182.0,34302.0,710296.0,630.0,185525.0,19615.0
2009.0,X,X,26868.0,109198.0,60229.0,187079.0,165849.0,181.44799999999958,43524.0,28796.0,8737.0,949.0,5042.0,22419.0,21364.0,16620.0,1179.0,33591.0,1590.0,2970.0,1132.0,,,717052.0,950.0,2009.0,X,X,18528.0,63410.10000000025,2430.0,2430.0,3592.3900000000012,430.50000000000017,19092.0,4860.0,152.0,63.0,1202.0,586.0,43123.69999999951,43520.0,22411.0,5041.0,16614.0,1179.0,1589.0,138.0,33590.0,716974.0,660.0,187061.0,20772.0
2008.0,X,X,27764.0,109801.0,60882.0,187631.0,166714.0,192.42199999999963,43972.0,29194.0,9014.0,886.0,4878.0,22585.0,21541.0,16337.0,1310.0,32884.0,1672.0,2799.0,1035.0,,,714136.0,983.0,2008.0,X,X,18309.0,61810.40000000023,2428.0,2428.0,3365.009999999997,429.50000000000017,19010.0,4856.0,136.0,54.0,1184.0,655.0,43212.799999999486,43970.0,22584.0,4878.0,16335.0,1310.0,1671.0,153.0,32884.0,714108.0,650.0,187624.0,20829.0
2007.0,X,X,27118.0,113542.0,61073.0,188623.0,167783.0,195.91899999999995,44977.0,29885.0,9197.0,938.0,4957.0,23321.0,22257.0,16079.0,1323.0,32189.0,1755.0,2918.0,1002.0,,,712125.0,951.0,2007.0,X,X,18583.0,59421.300000000265,2431.0,2431.0,3519.3,430.69999999999925,19285.0,4862.0,112.0,43.0,1198.0,588.0,43284.09999999948,44965.0,23312.0,4956.0,16076.0,1323.0,1753.0,138.0,32189.0,712039.0,662.0,188602.0,21573.0
2006.0,X,X,26874.0,116391.0,60853.0,188071.0,167341.0,191.01000000000008,45073.0,29600.0,9135.0,952.0,5386.0,23599.0,22491.0,15847.0,1410.0,31655.0,1817.0,2767.0,1110.0,,,707725.0,944.0,2006.0,X,X,17756.0,58298.90000000021,2429.0,2429.0,3376.7999999999993,429.59999999999917,18689.0,4858.0,144.0,63.0,1201.0,623.0,43120.29999999952,45068.0,23595.0,5386.0,15844.0,1410.0,1817.0,145.0,31655.0,707674.0,631.0,188058.0,21754.0
2005.0,X,X,26983.0,110565.0,60210.0,186294.0,166337.0,189.73399999999958,43992.0,29224.0,8863.0,888.0,5017.0,22326.0,21248.0,15207.0,1216.0,30644.0,1797.0,2565.0,1069.0,,,696319.0,941.0,2005.0,X,X,17242.0,62211.400000000176,2430.0,2430.0,3276.880000000001,430.60000000000014,18031.0,4862.0,189.0,63.0,1254.0,583.0,43089.79999999948,43988.0,22321.0,5016.0,15205.0,1216.0,1797.0,161.0,30643.0,696279.0,604.0,186286.0,20608.0
2004.0,X,X,27560.0,115378.0,61359.0,188541.0,167355.0,185.16499999999985,44523.0,29255.0,8919.0,898.0,5451.0,23375.0,22248.0,16222.0,1381.0,31829.0,1850.0,2588.0,1100.0,,,710223.0,963.0,2004.0,X,X,17785.0,59739.20000000015,2428.0,2427.0,3525.350000000005,429.70000000000016,18264.0,4856.0,150.0,69.0,1230.0,623.0,43248.399999999485,44513.0,23365.0,5451.0,16218.0,1381.0,1850.0,157.0,31828.0,710147.0,626.0,188519.0,21516.0
2003.0,X,X,27671.0,113493.0,61435.0,187460.0,166747.0,195.8459999999997,44057.0,29089.0,8827.0,934.0,5207.0,22977.0,21887.0,15889.0,1316.0,30803.0,1849.0,2572.0,1132.0,,,701474.0,967.0,2003.0,X,X,17278.0,61007.800000000185,2429.0,2428.0,3326.079999999998,430.00000000000017,17815.0,4859.0,209.0,72.0,1198.0,566.0,43202.59999999952,44051.0,22967.0,5207.0,15884.0,1316.0,1849.0,158.0,30801.0,701394.0,610.0,187437.0,21175.0
2002.0,X,X,27088.0,110628.0,61831.0,186632.0,165595.0,190.237,43274.0,28593.0,8701.0,921.0,5059.0,22409.0,21334.0,16248.0,1452.0,31395.0,1746.0,2750.0,1282.0,,,698438.0,949.0,2002.0,X,X,16973.0,63524.400000000176,2425.0,2424.0,3131.700000000001,428.60000000000014,17603.0,4852.0,214.0,87.0,1224.0,569.0,43133.79999999958,43259.0,22399.0,5057.0,16241.0,1451.0,1746.0,160.0,31390.0,698287.0,602.0,186587.0,20561.0
2001.0,X,X,27762.0,113605.0,61335.0,186976.0,166234.0,197.6239999999998,43879.0,28680.0,8813.0,928.0,5458.0,23197.0,22088.0,15806.0,1384.0,32404.0,1890.0,3103.0,1407.0,,,0.0,972.0,2001.0,X,X,16593.0,0.0,2428.0,2428.0,3109.7899999999995,429.49999999999983,17619.0,4858.0,199.0,74.0,1210.0,0.0,43152.29999999954,43875.0,23194.0,5458.0,15801.0,1384.0,1889.0,151.0,32404.0,0.0,588.0,186962.0,21242.0
2000.0,X,X,27883.0,122914.0,62083.0,190261.0,167290.0,208.63100000000009,45246.0,29700.0,8901.0,952.0,5693.0,24971.0,23735.0,18237.0,1210.0,31356.0,1573.0,2924.0,1323.0,,,0.0,979.0,2000.0,X,X,16951.0,0.0,2428.0,2428.0,3664.17,429.0999999999997,17214.0,4858.0,234.0,72.0,1178.0,0.0,43104.99999999951,45238.0,24964.0,5693.0,18232.0,1210.0,1573.0,161.0,31355.0,0.0,601.0,190243.0,22911.0
