team_id,Player,Player Salary,Age_bat,Team_bat,Positions,Total_Points
4,Collin McHugh,13.0,0.0,0,DL,126.60000000000002
4,Alex Wood,3.0,28.0,Reds,DL,25.60000000000001
5,Cody Bellinger,6.0,23.0,Dodgers,1B,680.0
5,Mike Moustakas,4.0,30.0,Brewers,2B,467.0
5,Nolan Arenado,33.0,28.0,Rockies,3B,624.0
5,Francisco Lindor,1.0,25.0,Indians,SS,518.0
5,Eloy Jimenez,6.0,22.0,White Sox,OF,333.0
5,Ramon Laureano,2.0,24.0,Athletics,OF,318.0
5,Joey Gallo,9.0,25.0,Rangers,OF,235.0
5,Yoan Moncada,6.0,24.0,White Sox,UTIL,373.0
5,Luis Castillo,2.0,26.0,Reds,SP,453.5999999999999
5,Chris Paddack,20.0,23.0,Padres,SP,331.5999999999999
5,A.J. Puk,6.0,0.0,0,SP,19.3
5,Jesus Luzardo,27.0,0.0,0,SP,28.0
5,Edwin Diaz,6.0,0.0,0,RP,145.3
5,Josh Hader,6.0,25.0,Brewers,RP,360.3
5,Jordan Hicks,6.0,0.0,0,BE,127.6
5,Eric Lauer,1.0,24.0,Padres,BE,195.0
5,Joe Musgrove,1.0,26.0,Pirates,BE,264.29999999999995
5,Corey Seager,36.0,25.0,Dodgers,BE,377.0
5,A.J. Pollock,12.0,31.0,Dodgers,BE,225.0
5,Clint Frazier,1.0,24.0,Yankees,BE,146.0
5,Sean Manaea,1.0,0.0,0,DL,82.6
6,Justin Smoak,6.0,32.0,Blue Jays,1B,297.0
6,Dee Gordon,6.0,31.0,Mariners,2B,190.0
6,Ryan Braun,6.0,35.0,Brewers,OF,347.0
6,Yasiel Puig,7.0,28.0,- - -,OF,386.0
6,Mitch Haniger,6.0,28.0,Mariners,OF,176.0
6,Nelson Cruz,6.0,38.0,Twins,UTIL,475.0
6,Zack Greinke,28.0,35.0,- - -,SP,542.3
6,David Price,26.0,33.0,Red Sox,SP,218.29999999999995
6,Jose Quintana,6.0,30.0,Cubs,SP,261.0
6,Cole Hamels,6.0,35.0,Cubs,SP,222.6
6,Logan Webb,2.0,22.0,Giants,SP,37.60000000000001
6,Will Smith,14.0,24.0,Dodgers,RP,484.29999999999984
6,Will Smith,14.0,29.0,Giants,RP,338.2999999999999
6,Jeff Samardzija,1.0,34.0,Giants,BE,296.2999999999999
6,Randal Grichuk,1.0,27.0,Blue Jays,BE,357.0
6,C.J. Cron,1.0,29.0,Twins,BE,309.0
6,Shin-Soo Choo,2.0,36.0,Rangers,BE,367.0
6,Yuli Gurriel,7.0,35.0,Astros,BE,522.0
6,Marcus Semien,9.0,28.0,Athletics,BE,598.0
6,Raisel Iglesias,2.0,29.0,Reds,BE,227.29999999999995
6,Jose Leclerc,1.0,0.0,0,BE,154.60000000000005
6,Ian Desmond,3.0,33.0,Rockies,BE,290.0
6,Mitch Garver,1.0,28.0,Twins,BE,347.0
6,David Fletcher,2.0,25.0,Angels,,367.0
6,Mike Minor,3.0,31.0,Rangers,,415.5999999999999
7,Anthony Rizzo,18.0,29.0,Cubs,1B,495.0
7,Brandon Lowe,6.0,24.0,Rays,2B,196.0
7,Anthony Rendon,6.0,29.0,Nationals,3B,634.0
7,Amed Rosario,6.0,23.0,Mets,SS,356.0
7,Joc Pederson,1.0,27.0,Dodgers,OF,382.0
7,Jake Bauers,6.0,23.0,Indians,OF,180.0
7,Jason Heyward,6.0,29.0,Cubs,OF,371.0
7,George Springer,43.0,29.0,Astros,UTIL,490.0
7,Lance Lynn,1.0,32.0,Rangers,SP,430.0
7,Tanner Roark,1.0,32.0,- - -,SP,252.29999999999995
7,Jon Lester,6.0,35.0,Cubs,SP,264.5999999999999
7,Alex Young,1.0,25.0,Diamondbacks,SP,142.29999999999995
7,Chris Bassitt,1.0,30.0,Athletics,SP,286.0
7,Brad Hand,6.0,0.0,0,RP,273.3
7,Ken Giles,6.0,0.0,0,RP,248.0
7,Homer Bailey,1.0,33.0,- - -,BE,280.29999999999995
7,Hansel Robles,1.0,0.0,0,BE,294.6
7,Rich Hill,15.0,39.0,Dodgers,BE,150.60000000000005
7,Anthony Santander,1.0,24.0,Orioles,BE,258.0
7,Tommy La Stella,1.0,30.0,Angels,BE,258.0
7,Zach Plesac,1.0,0.0,0,BE,205.6
7,Justin Upton,20.0,31.0,Angels,BE,143.0
7,David Dahl,10.0,25.0,Rockies,BE,272.0
7,Jonathan Schoop,1.0,27.0,Twins,BE,266.0
7,Corey Kluber,1.0,33.0,Indians,,29.60000000000001
7,Kevin Newman,1.0,25.0,Pirates,,321.0
7,Daniel Murphy,6.0,34.0,Rockies,DL,312.0
8,Jeff McNeil,1.0,27.0,Mets,2B,431.0
8,Xander Bogaerts,6.0,26.0,Red Sox,SS,570.0
8,Whit Merrifield,1.0,30.0,Royals,OF,453.0
8,Austin Meadows,1.0,24.0,Rays,UTIL,459.0
8,Tyler Glasnow,1.0,25.0,Rays,SP,188.3
8,Matthew Boyd,1.0,28.0,Tigers,SP,371.3
8,Robbie Ray,7.0,27.0,Diamondbacks,SP,346.3
8,Kirby Yates,1.0,0.0,0,RP,355.6
8,Archie Bradley,1.0,26.0,Diamondbacks,RP,181.0
8,Shane Bieber,1.0,24.0,Indians,BE,587.5999999999998
8,Nick Senzel,6.0,24.0,Reds,BE,219.0
8,Yandy Diaz,1.0,27.0,Rays,BE,241.0
8,Kyle Hendricks,3.0,29.0,Cubs,BE,345.0
8,Zac Gallen,1.0,23.0,- - -,BE,167.0
8,Kyle Tucker,5.0,22.0,Astros,BE,45.0
8,Mitch Keller,6.0,23.0,Pirates,BE,21.0
8,Mike Soroka,10.0,21.0,Braves,BE,388.5999999999999
8,Cavan Biggio,1.0,24.0,Blue Jays,,256.0
8,Bryan Reynolds,1.0,24.0,Pirates,DL,356.0
9,Gleyber Torres,6.0,22.0,Yankees,2B,480.0
9,Jose Ramirez,44.0,26.0,Indians,3B,420.0
9,Carlos Correa,21.0,24.0,Astros,SS,263.0
9,Mike Trout,39.0,27.0,Angels,OF,620.0
9,Juan Soto,6.0,20.0,Nationals,OF,566.0
9,Rafael Devers,6.0,22.0,Red Sox,UTIL,586.0
9,Gerrit Cole,6.0,28.0,Astros,SP,712.3
9,Walker Buehler,6.0,24.0,Dodgers,SP,476.3
9,Max Scherzer,61.0,34.0,Nationals,SP,478.3
9,Aaron Sanchez,4.0,26.0,- - -,SP,69.29999999999995
9,Roberto Osuna,6.0,0.0,0,RP,298.0
9,Yonny Chirinos,1.0,25.0,Rays,BE,288.6
9,Johnny Cueto,1.0,33.0,Giants,BE,28.0
9,Mark Canha,1.0,30.0,Athletics,BE,361.0
9,Starlin Castro,1.0,29.0,Marlins,BE,377.0
9,Kolten Wong,1.0,28.0,Cardinals,BE,333.0
9,Emilio Pagan,1.0,28.0,Rays,BE,237.0
10,Edwin Encarnacion,16.0,36.0,- - -,1B,412.0
10,Adam Frazier,7.0,27.0,Pirates,2B,342.0
10,Kris Bryant,1.0,27.0,Cubs,3B,464.0
10,Jorge Polanco,5.0,25.0,Twins,SS,479.0
10,Byron Buxton,3.0,25.0,Twins,OF,216.0
10,Mark Trumbo,1.0,33.0,Orioles,OF,10.0
10,Max Kepler,1.0,26.0,Twins,OF,489.0
10,Kyle Schwarber,10.0,26.0,Cubs,UTIL,437.0
10,Madison Bumgarner,1.0,29.0,Giants,SP,398.5999999999999
10,Zack Wheeler,1.0,29.0,Mets,SP,373.3
10,Chris Archer,27.0,30.0,Pirates,SP,152.60000000000005
10,Yusei Kikuchi,14.0,28.0,Mariners,SP,139.59999999999997
10,Domingo German,7.0,26.0,Yankees,SP,348.0
10,Craig Kimbrel,1.0,0.0,0,RP,40.6
10,Blake Treinen,1.0,0.0,0,RP,109.60000000000002
10,Jason Kipnis,2.0,32.0,Indians,BE,298.0
10,Dylan Bundy,15.0,26.0,Orioles,BE,215.6
10,Jakob Junis,11.0,26.0,Royals,BE,200.29999999999995
10,Kyle Gibson,1.0,31.0,Twins,BE,244.59999999999997
10,Kendrys Morales,3.0,36.0,- - -,BE,72.0
10,Kevin Pillar,1.0,30.0,- - -,BE,406.0
10,Josh Bell,3.0,26.0,Pirates,BE,552.0
10,Michael Wacha,1.0,27.0,Cardinals,BE,142.0
10,Luis Urias,1.0,22.0,Padres,BE,85.0
11,Trea Turner,10.0,26.0,Nationals,SS,402.0
11,Bryce Harper,4.0,26.0,Phillies,OF,499.0
11,Tommy Pham,14.0,31.0,Rays,OF,411.0
11,Khris Davis,10.0,31.0,Athletics,UTIL,267.0
11,Yu Darvish,10.0,32.0,Cubs,SP,369.5999999999999
11,Luke Weaver,1.0,25.0,Diamondbacks,SP,155.29999999999995
11,James Paxton,9.0,30.0,Yankees,SP,361.5999999999999
11,Dinelson Lamet,1.0,26.0,Padres,SP,137.0
11,Alex Colome,1.0,0.0,0,RP,263.0
11,Michael Chavis,1.0,23.0,Red Sox,BE,201.0
11,Sandy Alcantara,1.0,23.0,Marlins,BE,255.29999999999993
11,Max Fried,1.0,25.0,Braves,BE,373.0
11,Domingo Santana,3.0,26.0,Mariners,BE,266.0
11,J.D. Davis,1.0,26.0,Mets,BE,311.0
11,Willie Calhoun,1.0,24.0,Rangers,DL,256.0
11,Brett Gardner,1.0,35.0,Yankees,DL,407.0
12,Matt Olson,10.0,25.0,Athletics,1B,407.0
12,Keston Hiura,1.0,22.0,Brewers,2B,230.0
12,Jurickson Profar,6.0,26.0,Athletics,3B,338.0
12,Bo Bichette,1.0,21.0,Blue Jays,SS,151.0
12,Eddie Rosario,1.0,27.0,Twins,OF,476.0
12,Michael Conforto,14.0,26.0,Mets,OF,458.0
12,Nomar Mazara,6.0,24.0,Rangers,OF,299.0
12,Nick Markakis,1.0,35.0,Braves,UTIL,302.0
12,Stephen Strasburg,6.0,30.0,Nationals,SP,546.0
12,Blake Snell,6.0,0.0,0,SP,225.6
12,Aaron Civale,1.0,24.0,Indians,SP,126.3
12,Dylan Cease,6.0,0.0,0,SP,77.0
12,Kyle Wright,6.0,23.0,Braves,BE,-18.400000000000006
12,Alex Reyes,7.0,0.0,0,BE,-13.0
12,Vladimir Guerrero Jr.,6.0,20.0,Blue Jays,BE,308.0
12,Brendan Rodgers,6.0,22.0,Rockies,BE,11.0
12,Miles Mikolas,6.0,30.0,Cardinals,BE,273.0
12,Brendan McKay,1.0,23.0,Rays,BE,74.30000000000003
12,Alex Bregman,6.0,25.0,Astros,BE,662.0
12,Dustin May,1.0,21.0,Dodgers,BE,27.599999999999994
13,Paul Goldschmidt,1.0,31.0,Cardinals,1B,453.0
13,Jose Altuve,6.0,29.0,Astros,2B,446.0
13,Matt Carpenter,6.0,33.0,Cardinals,3B,222.0
13,Marwin Gonzalez,6.0,30.0,Twins,SS,249.0
13,Lorenzo Cain,6.0,33.0,Brewers,OF,292.0
13,Paul DeJong,5.0,25.0,Cardinals,OF,405.0
13,Adam Eaton,1.0,30.0,Nationals,OF,389.0
13,Austin Riley,1.0,22.0,Braves,UTIL,163.0
13,Dallas Keuchel,6.0,31.0,Braves,SP,158.60000000000005
13,Masahiro Tanaka,6.0,30.0,Yankees,SP,314.0
13,Mike Clevinger,6.0,0.0,0,SP,385.3
13,German Marquez,6.0,24.0,Rockies,SP,372.0
13,Steven Matz,1.0,28.0,Mets,SP,271.29999999999995
13,Aroldis Chapman,24.0,0.0,0,RP,295.3
13,Mark Melancon,2.0,0.0,0,RP,193.0
13,Andrelton Simmons,6.0,29.0,Angels,BE,226.0
13,Robinson Cano,12.0,36.0,Mets,BE,234.0
13,Jonathan Villar,5.0,28.0,Orioles,BE,430.0
13,Jose Urena,11.0,27.0,Marlins,BE,32.600000000000016
13,Alex Gordon,2.0,35.0,Royals,BE,339.3
13,Jon Gray,13.0,27.0,Rockies,BE,270.0
13,Hunter Pence,1.0,36.0,Rangers,BE,268.0
13,Tim Anderson,2.0,26.0,White Sox,BE,337.0
13,Shohei Ohtani,6.0,24.0,Angels,BE,276.0
13,Sonny Gray,1.0,29.0,Reds,BE,439.3
13,Aristides Aquino,1.0,25.0,Reds,DL,180.0
13,Mallex Smith,1.0,26.0,Mariners,DL,226.0
14,Jose Abreu,6.0,32.0,White Sox,1B,465.0
14,Niko Goodrum,3.0,27.0,Tigers,2B,226.0
14,Justin Turner,1.0,34.0,Dodgers,3B,411.0
14,Eduardo Escobar,1.0,30.0,Diamondbacks,SS,533.0
14,Harrison Bader,1.0,25.0,Cardinals,OF,180.0
14,Andrew McCutchen,1.0,32.0,Phillies,OF,183.0
14,Chad Pinder,1.0,27.0,Athletics,OF,184.0
14,Daniel Vogelbach,1.0,26.0,Mariners,UTIL,361.0
14,Merrill Kelly,1.0,30.0,Diamondbacks,SP,257.29999999999995
14,Mike Fiers,1.0,0.0,0,SP,355.59999999999985
14,Kenta Maeda,12.0,31.0,Dodgers,SP,343.59999999999985
14,Mike Leake,2.0,31.0,- - -,SP,290.0
14,Julio Teheran,8.0,28.0,Braves,SP,281.5999999999999
14,Jose Alvarado,8.0,0.0,0,RP,34.0
14,Brandon Woodruff,3.0,26.0,Brewers,RP,310.6
14,Brett Anderson,1.0,31.0,Athletics,BE,238.0
14,Brandon Nimmo,15.0,26.0,Mets,BE,127.0
14,Jay Bruce,1.0,32.0,- - -,BE,254.0
14,Jonathan Loaisiga,10.0,0.0,0,BE,45.6
14,Ryan Yarbrough,1.0,0.0,0,BE,291.6
14,Kyle Seager,6.0,31.0,Mariners,BE,296.0
14,Greg Holland,1.0,0.0,0,BE,93.60000000000002
14,Ketel Marte,9.0,25.0,Diamondbacks,BE,567.0
14,Josh Donaldson,22.0,33.0,Braves,BE,483.0
14,Aaron Hicks,1.0,29.0,Yankees,DL,157.0
14,Joey Lucchesi,6.0,26.0,Padres,DL,251.59999999999994
