Roto_Rank,Roto_Rank_Bat,Season,Points,Total_Zn,Total_Z,Name,Team,Age,BA,R,RBI,HR,SB,BA_zscore,R_zscore,RBI_zscore,HR_zscore,SB_zscore,Roto_Rank_Pit,K,ERA,WHIP,Saves,Wins,K_zscore,ERA_zscore,WHIP_zscore,Saves_zscore,Wins_zscore
24,21.0,2019.0,362.0,1378.0929597349254,10.221567132573517,Danny Santana,Rangers,28.0,0.28300000000000003,81.0,81.0,28.0,21.0,0.7450337556949307,1.86986315013214,1.947904318840614,2.0722596780999365,3.5865062298058947,,,,,,,,,,,
25,22.0,2019.0,375.0,1756.083465027236,10.2129487711869,Elvis Andrus,Rangers,30.0,0.275,81.0,72.0,12.0,31.0,0.6861372187679455,1.86986315013214,1.6472090974946123,0.5050044593688922,5.50473484542331,,,,,,,,,,,
26,23.0,2019.0,626.0,1717.5990453818315,10.199266588038862,Nolan Arenado,Rockies,28.0,0.315,102.0,118.0,41.0,3.0,0.9806199034028705,2.5552016352483577,3.1840957843741764,3.3456545433189104,0.1336947216945471,,,,,,,,,,,
27,24.0,2019.0,331.0,1544.7184363660465,9.909307868780349,Victor Robles,Nationals,22.0,0.255,86.0,65.0,17.0,28.0,0.5388958764504829,2.0330389799217157,1.4133350364477222,0.9947717152223434,4.9292662607380855,,,,,,,,,,,
28,25.0,2019.0,592.0,1721.8661434426463,9.790960185053606,Xander Bogaerts,Red Sox,26.0,0.309,110.0,117.0,33.0,4.0,0.9364475007076317,2.8162829629116786,3.1506852042246205,2.562026933953388,0.32551758325628866,,,,,,,,,,,
29,,2019.0,356.0,132.92028127738197,9.764371319783026,Kirby Yates,Padres,32.0,,,,,,,,,,,3.0,101.0,1.19,0.8970099667774086,41.0,0.0,0.897096858499946,-1.052943727578401,-0.992031789293469,7.5905639780604,-0.7682650336491917
30,26.0,2019.0,429.0,1334.315767858645,9.743694585007056,Jose Ramirez,Indians,26.0,0.255,68.0,83.0,23.0,24.0,0.5388958764504829,1.4456059926792437,2.0147254791397256,1.5824924222464851,4.16197481449112,,,,,,,,,,,
31,27.0,2019.0,567.0,1582.0931105902487,9.73166358437904,Ketel Marte,Diamondbacks,25.0,0.32899999999999996,97.0,92.0,32.0,10.0,1.083688843025094,2.392025805458782,2.3154207004857272,2.4640734827826978,1.476454752626738,,,,,,,,,,,
32,28.0,2019.0,503.0,1588.559035372495,9.668277052693904,Eugenio Suarez,Reds,27.0,0.271,87.0,103.0,49.0,3.0,0.6566889503044531,2.0656741458796306,2.6829370821308403,4.129282152684433,0.1336947216945471,,,,,,,,,,,
33,29.0,2019.0,425.0,1565.1671405507113,9.664685543691034,Tommy Pham,Rays,31.0,0.273,77.0,68.0,21.0,25.0,0.6714130845361993,1.7393224863004797,1.5135667768963894,1.3865855199051047,4.353797676052861,,,,,,,,,,,
34,30.0,2019.0,515.0,1764.5536114875918,9.61955234977478,Ozzie Albies,Braves,22.0,0.295,102.0,86.0,24.0,15.0,0.8333785610854079,2.5552016352483577,2.114957219588393,1.6804458734171754,2.4355690604354456,,,,,,,,,,,
35,31.0,2019.0,460.0,1865.5219093996207,9.543552054108154,Whit Merrifield,Royals,30.0,0.302,105.0,74.0,16.0,20.0,0.8849130308965198,2.653107133122103,1.7140302577937239,0.8968182640516532,3.394683368244153,,,,,,,,,,,
36,32.0,2019.0,512.0,1288.2925586893261,9.478656967679907,George Springer,Astros,29.0,0.292,96.0,96.0,39.0,6.0,0.8112923597377885,2.359390639500867,2.44906302108395,3.1497476409775302,0.7091633063797718,,,,,,,,,,,
37,33.0,2019.0,534.0,1711.2166521851402,9.395455189144718,Eduardo Escobar,Diamondbacks,30.0,0.26899999999999996,94.0,118.0,35.0,5.0,0.6419648160727064,2.294120307585037,3.1840957843741764,2.7579338362947685,0.5173404448180302,,,,,,,,,,,
38,,2019.0,306.0,114.38689809559132,9.386887599462636,Roberto Osuna,Astros,24.0,,,,,,,,,,,4.0,73.0,2.63,0.8769230769230769,38.0,4.0,0.38085087354773967,-0.7015119774263424,-1.0229906379877107,7.014902812285006,0.26663129821583725
