Roto_Rank_Pit,Season,Points,Total_Z,Name,Team,Age,K,ERA,WHIP,Saves,Wins,K_zscore,ERA_zscore,WHIP_zscore,Saves_zscore,Wins_zscore
52,2019.0,371.0,5.413046231577554,Matthew Boyd,Tigers,28.0,238.0,4.56,1.2317666126418152,0.0,9.0,3.42301471344467,-0.23049581229198599,-0.47608928033043574,-0.2768052875366609,1.5602517130471234
53,2019.0,348.0,5.3406570671715,Kenta Maeda,Dodgers,31.0,169.0,4.04,1.077023498694517,3.0,10.0,2.15083710766959,-0.3574017220691182,-0.7145865631806774,0.29885587823873383,1.8189757960133808
54,2019.0,406.0,5.318797619792893,Mike Soroka,Braves,21.0,142.0,2.68,1.1136624569460392,0.0,13.0,1.6530284793228196,-0.6893094861016181,-0.6581168969929625,-0.2768052875366609,2.5951480449121527
55,2019.0,379.0,5.239228788704525,Zack Wheeler,Mets,29.0,195.0,3.96,1.2608918503331625,0.0,11.0,2.6302083794109246,-0.37692570818867704,-0.4312001096619462,-0.2768052875366609,2.077699878979638
56,2019.0,204.0,5.178770688912327,Shane Greene,- - -,30.0,64.0,2.3,1.012861736334405,23.0,0.0,0.2149146640988162,-0.7820484201695226,-0.8134756548851475,4.136596983408032,-0.7682650336491917
57,2019.0,365.0,5.127509035104625,Mike Fiers,Athletics,34.0,126.0,3.9,1.1889250814332248,0.0,15.0,1.3580307736358443,-0.3915686977783462,-0.5421186403824281,-0.2768052875366609,3.112596210844667
58,2019.0,404.0,5.086670700454407,Madison Bumgarner,Giants,29.0,203.0,3.9,1.1293436293436294,0.0,9.0,2.777707232254412,-0.3915686977783462,-0.6339483449111863,-0.2768052875366609,1.5602517130471234
59,2019.0,383.0,5.067796412771554,Noah Syndergaard,Mets,26.0,202.0,4.28,1.2373225152129819,0.0,10.0,2.759269875648976,-0.2988297637104417,-0.46752626493541655,-0.2768052875366609,1.8189757960133808
60,2019.0,353.0,5.0260436819006715,German Marquez,Rockies,24.0,175.0,4.76,1.2011494252873562,0.0,12.0,2.2614612473022055,-0.18168584699308887,-0.5232779131961423,-0.2768052875366609,2.3364239619458953
61,2019.0,281.0,4.922606776314751,Adam Wainwright,Cardinals,37.0,153.0,4.19,1.4310747663551402,0.0,14.0,1.8558394019826148,-0.32079424809494533,-0.16890628589544307,-0.2768052875366609,2.8538721278784096
62,2019.0,283.0,4.87695652972795,Merrill Kelly,Diamondbacks,30.0,158.0,4.42,1.3162206444565812,0.0,13.0,1.9480261850097946,-0.26466278800121384,-0.34592479934145,-0.2768052875366609,2.5951480449121527
63,2019.0,311.0,4.864523550209443,Wade Miley,Astros,32.0,140.0,3.98,1.3464991023339319,0.0,14.0,1.6161537661119476,-0.37204471165878733,-0.2992582320969582,-0.2768052875366609,2.8538721278784096
64,2019.0,390.0,4.815744482620943,Yu Darvish,Cubs,32.0,229.0,3.98,1.0998877665544333,0.0,6.0,3.2570785039957464,-0.37204471165878733,-0.6793470903547181,-0.2768052875366609,0.7840794641483517
65,2019.0,357.0,4.733396337052692,Kyle Hendricks,Cubs,29.0,150.0,3.46,1.1299435028248588,0.0,11.0,1.8005273321663071,-0.4989506214359197,-0.6330237920074892,-0.2768052875366609,2.077699878979638
66,2019.0,194.0,4.712007551893579,Archie Bradley,Diamondbacks,26.0,87.0,3.52,1.446629213483146,18.0,4.0,0.6389738660238429,-0.48430763184625053,-0.144933048691941,3.1771617071157072,0.26663129821583725
67,2019.0,262.0,4.711206222695067,Jon Lester,Cubs,35.0,165.0,4.46,1.5011682242990656,0.0,13.0,2.0770876812478463,-0.2549007949414344,-0.06087498913029366,-0.2768052875366609,2.5951480449121527
68,2019.0,278.0,4.671347240970112,Homer Bailey,- - -,33.0,149.0,4.57,1.3182096873083997,0.0,13.0,1.782089975560871,-0.22805531402704096,-0.342859194006708,-0.2768052875366609,2.5951480449121527
69,2019.0,250.0,4.614776142866766,Kyle Gibson,Twins,31.0,160.0,4.84,1.44375,0.0,13.0,1.9849008982206664,-0.16216186087353004,-0.1493706263970785,-0.2768052875366609,2.5951480449121527
70,2019.0,207.0,4.613906631321381,Sergio Romo,- - -,36.0,60.0,3.43,1.1148086522462561,20.0,2.0,0.14116523767707245,-0.5062721162307542,-0.656350327497595,3.5609358176326373,-0.25081686771667727
71,2019.0,268.0,4.5953863264917825,Jose Quintana,Cubs,30.0,152.0,4.68,1.3859649122807018,0.0,13.0,1.8374020453771789,-0.20120983311264773,-0.23843169062646438,-0.2768052875366609,2.5951480449121527
72,2019.0,333.0,4.565296355259983,Jeff Samardzija,Giants,34.0,140.0,3.52,1.1098840419657647,0.0,11.0,1.6161537661119476,-0.48430763184625053,-0.6639403658588081,-0.2768052875366609,2.077699878979638
73,2019.0,218.0,4.541581420069443,Seth Lugo,Mets,29.0,104.0,2.7,0.9,6.0,7.0,0.9524089283162539,-0.6844284895717284,-0.9874234110527231,0.8745170440141287,1.0428035471146089
74,2019.0,309.0,4.5392071534999445,Brandon Woodruff,Brewers,26.0,143.0,3.62,1.146864686468647,0.0,11.0,1.6714658359282555,-0.459902649196802,-0.60694407693191,-0.2768052875366609,2.077699878979638
75,2019.0,332.0,4.529224005338061,Chris Sale,Red Sox,30.0,218.0,4.4,1.087695445275323,0.0,6.0,3.054267581335951,-0.26954378453110345,-0.6981384628593154,-0.2768052875366609,0.7840794641483517
76,2019.0,341.0,4.527446725185627,Chris Paddack,Padres,23.0,153.0,3.33,0.9843081312410843,0.0,9.0,1.8558394019826148,-0.5306770988802028,-0.8574837988123475,-0.2768052875366609,1.5602517130471234
77,2019.0,195.0,4.525248080976671,Daniel Hudson,- - -,32.0,71.0,2.47,1.1369863013698631,8.0,9.0,0.3439761603368678,-0.74055994966546,-0.6221691033961612,1.2582911545310584,1.5602517130471234
78,2019.0,279.0,4.489219493371827,Joe Musgrove,Pirates,26.0,157.0,4.44,1.216931216931217,0.0,11.0,1.9295888284043585,-0.259781791471324,-0.4989542820531672,-0.2768052875366609,2.077699878979638
79,2019.0,222.0,4.468091777497945,Rick Porcello,Red Sox,30.0,143.0,5.52,1.395749569213096,0.0,14.0,1.6714658359282555,0.0037920211427198603,-0.22335112237066118,-0.2768052875366609,2.8538721278784096
80,2019.0,274.0,4.4583644012938475,Jordan Lyles,- - -,28.0,146.0,4.15,1.3191489361702127,0.0,12.0,1.7267779057445634,-0.33055624115472476,-0.341411579985325,-0.2768052875366609,2.3364239619458953
81,2019.0,323.0,4.4231005517819115,Marcus Stroman,- - -,28.0,159.0,3.22,1.3090711569799023,0.0,10.0,1.9664635416152305,-0.5575225797945961,-0.35694392189536517,-0.2768052875366609,1.8189757960133808
82,2019.0,286.0,4.414731029740291,John Means,Orioles,26.0,121.0,3.6,1.135483870967742,0.0,12.0,1.2658439906086647,-0.46478364572669173,-0.6244847189956995,-0.2768052875366609,2.3364239619458953
83,2019.0,280.0,4.396791078878643,Caleb Smith,Marlins,27.0,168.0,4.52,1.2279555845852383,0.0,10.0,2.132399751064154,-0.24025780535176539,-0.48196301398600355,-0.2768052875366609,1.8189757960133808
84,2019.0,305.0,4.372271229174297,Michael Pineda,Twins,30.0,140.0,4.01,1.1575342465753424,0.0,11.0,1.6161537661119476,-0.3647232168639528,-0.590499654755419,-0.2768052875366609,2.077699878979638
85,2019.0,327.0,4.311274347907414,Anthony DeSclafani,Reds,29.0,167.0,3.89,1.203369434416366,0.0,9.0,2.113962394458718,-0.394009196043291,-0.5198563318949422,-0.2768052875366609,1.5602517130471234
86,2019.0,294.0,4.3082361501599555,Julio Teheran,Braves,28.0,162.0,3.81,1.3260619977037889,0.0,10.0,2.021775611431538,-0.4135331821628498,-0.3307568480888481,-0.2768052875366609,1.8189757960133808
87,2019.0,312.0,4.301015577130515,Masahiro Tanaka,Yankees,30.0,149.0,4.45,1.2417582417582418,0.0,11.0,1.782089975560871,-0.2573412932063792,-0.4606897169202882,-0.2768052875366609,2.077699878979638
88,2019.0,294.0,4.299194225240937,Joey Lucchesi,Padres,26.0,158.0,4.18,1.2254901960784315,0.0,10.0,1.9480261850097946,-0.32323474635989036,-0.4857627853945324,-0.2768052875366609,1.8189757960133808
89,2019.0,284.0,4.296358608462711,Jon Gray,Rockies,27.0,150.0,3.84,1.3533333333333333,0.0,11.0,1.8005273321663071,-0.4062116873680153,-0.2887249974854119,-0.2768052875366609,2.077699878979638
90,2019.0,288.0,4.277436119181418,Steven Matz,Mets,28.0,153.0,4.21,1.3429106808244848,0.0,11.0,1.8558394019826148,-0.31591325156505573,-0.3047888741907702,-0.2768052875366609,2.077699878979638
91,2019.0,254.0,4.195889441861366,J.A. Happ,Yankees,36.0,140.0,4.91,1.2973308504034762,0.0,12.0,1.6161537661119476,-0.14507837301891602,-0.3750386283212684,-0.2768052875366609,2.3364239619458953
92,2019.0,292.0,4.163908223013237,Ryan Yarbrough,Rays,27.0,117.0,4.13,0.9985835694050992,0.0,11.0,1.192094564186921,-0.3354372376846146,-0.8354818296987252,-0.2768052875366609,2.077699878979638
93,2019.0,312.0,4.125686381741998,Anibal Sanchez,Nationals,35.0,134.0,3.85,1.2710843373493976,0.0,11.0,1.5055296264793319,-0.4037711891030704,-0.4154909747166178,-0.2768052875366609,2.077699878979638
94,2019.0,291.0,4.123906754813261,Chris Bassitt,Athletics,30.0,141.0,3.81,1.1944444444444444,0.0,10.0,1.6345911227173835,-0.4135331821628498,-0.5336119414563077,-0.2768052875366609,1.8189757960133808
95,2019.0,298.0,4.11983041216606,Mike Leake,- - -,31.0,127.0,4.29,1.2893401015228427,0.0,12.0,1.3764681302412805,-0.2963892654454969,-0.3873543420700478,-0.2768052875366609,2.3364239619458953
96,2019.0,250.0,3.990050062360334,Tanner Roark,- - -,32.0,158.0,4.35,1.399152029073289,0.0,10.0,1.9480261850097946,-0.28174627585582784,-0.21810709301799186,-0.2768052875366609,1.8189757960133808
97,2019.0,218.0,3.853068798869609,Reynaldo Lopez,White Sox,25.0,169.0,5.38,1.4565217391304348,0.0,10.0,2.15083710766959,-0.030374954566507996,-0.12968622815679107,-0.2768052875366609,1.8189757960133808
98,2019.0,288.0,3.791334195189603,Miles Mikolas,Cardinals,30.0,144.0,4.16,1.2228260869565217,0.0,9.0,1.6899031925336914,-0.32811574288977996,-0.48986883425566885,-0.2768052875366609,1.5602517130471234
99,2019.0,254.0,3.76705420123805,Brett Anderson,Athletics,31.0,90.0,3.89,1.3068181818181819,0.0,13.0,0.6942859358401506,-0.394009196043291,-0.3604163119791165,-0.2768052875366609,2.5951480449121527
100,2019.0,110.0,3.7040382060966364,Blake Treinen,Athletics,31.0,59.0,4.91,1.6323024054982818,16.0,6.0,0.1227278810716365,-0.14507837301891602,0.14123510874104606,2.793387596598778,0.7840794641483517
101,2019.0,163.0,3.642126725321469,Jose Leclerc,Rangers,25.0,100.0,4.33,1.3343108504398826,14.0,2.0,0.8786595018945101,-0.28662727238571745,-0.31804333267607066,2.409613486081848,-0.25081686771667727
102,2019.0,201.0,3.6324709738928265,Mark Melancon,- - -,34.0,68.0,3.61,1.3263785394932937,12.0,5.0,0.28866409052055997,-0.46234314746174693,-0.33026897916350667,2.025839375564918,0.5253553811820946
103,2019.0,257.0,3.5865612704222753,Zach Eflin,Phillies,25.0,129.0,4.13,1.34886572654813,0.0,10.0,1.4133428434521522,-0.3354372376846146,-0.29561068080878844,-0.2768052875366609,1.8189757960133808
104,2019.0,200.0,3.58066066879318,Jakob Junis,Royals,26.0,164.0,5.24,1.4277555682467162,0.0,9.0,2.0586503246424104,-0.06454193027573585,-0.17402198836457125,-0.2768052875366609,1.5602517130471234
105,2019.0,289.0,3.5773995397556453,Yonny Chirinos,Rays,25.0,114.0,3.85,1.051840721262209,0.0,9.0,1.1367824943706133,-0.4037711891030704,-0.7533994307714987,-0.2768052875366609,1.5602517130471234
106,2019.0,260.0,3.5756275741312606,Frankie Montas,Athletics,26.0,103.0,2.63,1.1145833333333333,0.0,9.0,0.9339715717108179,-0.7015119774263424,-0.6566975994836375,-0.2768052875366609,1.5602517130471234
107,2019.0,216.0,3.5191498087076063,Andrew Cashner,- - -,32.0,108.0,4.68,1.3466666666666667,1.0,11.0,1.0261583547379975,-0.20120983311264773,-0.2989999741555193,-0.08491823227819599,2.077699878979638
108,2019.0,120.0,3.423927137798562,Junior Guerra,Brewers,34.0,77.0,3.55,1.1298076923076923,3.0,9.0,0.4546002999694834,-0.476986137051416,-0.6332331094918053,0.29885587823873383,1.5602517130471234
109,2019.0,155.0,3.3604711705849413,John Gant,Cardinals,26.0,60.0,3.66,1.2859304084720122,3.0,11.0,0.14116523767707245,-0.4501406561370226,-0.39260951955247453,0.29885587823873383,2.077699878979638
110,2019.0,143.0,3.356399835149362,Roenis Elias,- - -,30.0,47.0,3.96,1.28,14.0,4.0,-0.09852039819359479,-0.37692570818867704,-0.40174974085659454,2.409613486081848,0.26663129821583725
111,2019.0,261.0,3.314909620226621,Zach Davies,Brewers,26.0,102.0,3.55,1.2939698492462313,0.0,10.0,0.915534215105382,-0.476986137051416,-0.38021875959310275,-0.2768052875366609,1.8189757960133808
112,2019.0,99.0,3.302515332667999,Craig Stammen,Padres,35.0,73.0,3.29,1.1585365853658536,4.0,8.0,0.38085087354773967,-0.5404390919399822,-0.5889548036022122,0.49074293349719883,1.3015276300808662
113,2019.0,153.0,3.2767862413108424,Diego Castillo,Rays,25.0,81.0,3.41,1.2463343108504399,8.0,5.0,0.5283497263912272,-0.5111531127606439,-0.45363686644581785,1.2582911545310584,0.5253553811820946
114,2019.0,214.0,3.261857095723874,Ivan Nova,White Sox,32.0,114.0,4.72,1.4545454545454546,0.0,11.0,1.1367824943706133,-0.1914478400528683,-0.13273216985741582,-0.2768052875366609,2.077699878979638
115,2019.0,218.0,3.2428064151652265,Dylan Bundy,Orioles,26.0,162.0,4.79,1.3585607940446651,0.0,7.0,2.021775611431538,-0.17436435219825427,-0.28066819195748616,-0.2768052875366609,1.0428035471146089
116,2019.0,128.0,3.2412087988686378,Jordan Hicks,Cardinals,22.0,31.0,3.14,0.9574468085106383,14.0,2.0,-0.39351810388056985,-0.5770465659141549,-0.8988837184698817,2.409613486081848,-0.25081686771667727
117,2019.0,208.0,3.1913678907012857,Martin Perez,Twins,28.0,135.0,5.12,1.5202907328891582,0.0,10.0,1.523966983084768,-0.09382790945507412,-0.0314024896847239,-0.2768052875366609,1.8189757960133808
118,2019.0,253.0,3.084830555685728,Chase Anderson,Brewers,31.0,124.0,4.21,1.2661870503597121,0.0,8.0,1.3211560604249726,-0.31591325156505573,-0.42303890115149373,-0.2768052875366609,1.3015276300808662
119,2019.0,222.0,3.0769032410008634,Eric Lauer,Padres,24.0,138.0,4.45,1.400804289544236,0.0,8.0,1.5792790529010756,-0.2573412932063792,-0.21556055234920365,-0.2768052875366609,1.3015276300808662
120,2019.0,244.0,3.0752198720356034,Cole Hamels,Cubs,35.0,143.0,3.81,1.3951841359773371,0.0,7.0,1.6714658359282555,-0.4135331821628498,-0.22422259436654984,-0.2768052875366609,1.0428035471146089
121,2019.0,303.0,3.0641334146427317,Sandy Alcantara,Marlins,23.0,151.0,3.88,1.319127346524607,0.0,6.0,1.818964688771743,-0.3964496943082359,-0.3414448549510622,-0.2768052875366609,0.7840794641483517
122,2019.0,156.0,3.053821864763837,Marcus Walden,Red Sox,30.0,76.0,3.81,1.1923076923076923,2.0,9.0,0.4361629433640475,-0.4135331821628498,-0.5369052032095474,0.10696882298026894,1.5602517130471234
123,2019.0,158.0,3.0334160962388452,Scott Oberg,Rockies,29.0,58.0,2.25,1.1071428571428572,5.0,6.0,0.10429052446620056,-0.7942509114942469,-0.6681652073743822,0.6826299887556637,0.7840794641483517
124,2019.0,90.0,2.971455275033262,Mychal Givens,Orioles,29.0,86.0,4.57,1.1904761904761905,11.0,2.0,0.6205365094184069,-0.22805531402704096,-0.5397279989980384,1.8339523203064532,-0.25081686771667727
125,2019.0,224.0,2.9644564512497213,Blake Snell,Rays,26.0,147.0,4.29,1.2710280373831775,0.0,6.0,1.7452152623499992,-0.2963892654454969,-0.4155777468425338,-0.2768052875366609,0.7840794641483517
