team_id,Trade Block,Positions,Player,Player Salary,Keeping
6,,BE,Jose Leclerc,1.0,X
6,,BE,Ian Desmond,3.0,X
6,,BE,Mitch Garver,1.0,X
6,,,David Fletcher,2.0,X
6,,,Mike Minor,3.0,X
6,,,,,X
7,,1B,Anthony Rizzo,18.0,X
7,,2B,Brandon Lowe,6.0,X
7,,3B,Anthony Rendon,6.0,X
7,,SS,Amed Rosario,6.0,X
7,,OF,Joc Pederson,1.0,X
7,,OF,Jake Bauers,6.0,X
7,,OF,Jason Heyward,6.0,X
7,,UTIL,George Springer,43.0,X
7,,SP,Lance Lynn,1.0,X
7,,SP,Tanner Roark,1.0,X
7,,SP,Jon Lester,6.0,X
7,,SP,Alex Young,1.0,X
7,,SP,Chris Bassitt,1.0,X
7,,RP,Brad Hand,6.0,X
7,,RP,Ken Giles,6.0,X
7,,BE,Homer Bailey,1.0,X
7,,BE,Hansel Robles,1.0,X
7,,BE,Rich Hill,15.0,X
7,,BE,Anthony Santander,1.0,X
7,,BE,Tommy La Stella,1.0,X
7,,BE,Zach Plesac,1.0,X
7,,BE,Justin Upton,20.0,X
7,,BE,David Dahl,10.0,X
7,,BE,Jonathan Schoop,1.0,X
7,,,Corey Kluber,1.0,X
7,,,Kevin Newman,1.0,X
7,,DL,Daniel Murphy,6.0,X
7,,DL,,,X
8,,1B,Carlos Santana ,12.0,X
8,,2B,Jeff McNeil,1.0,X
8,,3B,,,X
8,,SS,Xander Bogaerts,6.0,X
8,,OF,,,X
8,,OF,,,X
8,,OF,Whit Merrifield,1.0,X
8,,UTIL,Austin Meadows,1.0,X
8,,SP,Sixto Sanchez,6.0,X
8,,SP,Tyler Glasnow,1.0,X
8,,SP,Matthew Boyd,1.0,X
8,,SP,Robbie Ray,7.0,X
8,,SP,,,
8,,RP,Kirby Yates,1.0,X
8,,RP,Archie Bradley,1.0,X
8,,BE,Wander Franco,1.0,X
8,,BE,Shane Bieber,1.0,X
8,,BE,Nick Senzel,6.0,x
8,,BE,Yandy Diaz,1.0,X
8,,BE,Kyle Hendricks,3.0,X
8,,BE,Matt Manning,1.0,X
8,,BE,Zac Gallen,1.0,X
8,,BE,Kyle Tucker,5.0,
8,,BE,Mitch Keller,6.0,X
8,,BE,Mike Soroka,10.0,X
8,,,Cavan Biggio,1.0,X
8,,DL,Oscar Marcado,1.0,X
8,,DL,Bryan Reynolds,1.0,X
9,,1B,,,X
9,,2B,Gleyber Torres,6.0,X
9,,3B,Jose Ramirez,44.0,X
9,,SS,Carlos Correa,21.0,X
9,,OF,Mike Trout,39.0,X
9,,OF,Ronald Acuna,6.0,X
9,,OF,Juan Soto,6.0,X
9,,UTIL,Rafael Devers,6.0,X
9,,SP,Gerrit Cole,6.0,X
9,,SP,Noah Syndergaard ,39.0,X
9,,SP,Walker Buehler,6.0,X
9,,SP,Max Scherzer,61.0,X
9,,SP,Aaron Sanchez,4.0,X
9,,RP,Roberto Osuna,6.0,X
9,,RP,Liam Hendricks,3.0,X
9,,BE,Yonny Chirinos,1.0,X
9,,BE,Casey Mize,1.0,X
9,,BE,Alex Kirilloff,1.0,X
9,,BE,Jazz Chisholm,1.0,X
9,,BE,Drew Waters,1.0,X
9,,BE,Travis d' Arnaud,1.0,X
9,,BE,Johnny Cueto,1.0,X
9,,BE,Deivi Garcia,1.0,X
9,,BE,Josiah Gray,1.0,X
9,,BE,Mark Canha,1.0,
9,,BE,Starlin Castro,1.0,X
9,,BE,Kolten Wong,1.0,X
9,,BE,Emilio Pagan,1.0,X
10,,1B,Edwin Encarnacion,16.0,X
10,,2B,Adam Frazier,7.0,X
10,,3B,Kris Bryant,1.0,X
10,,SS,Jorge Polanco,5.0,X
10,,OF,Byron Buxton,3.0,X
10,,OF,Mark Trumbo,1.0,X
10,,OF,Max Kepler,1.0,X
10,,UTIL,Kyle Schwarber,10.0,X
10,,SP,Madison Bumgarner,1.0,X
10,,SP,Zack Wheeler,1.0,X
10,,SP,Chris Archer,27.0,X
10,,SP,Yusei Kikuchi,14.0,X
10,,SP,Domingo German,7.0,X
10,,RP,Craig Kimbrel,1.0,X
10,,RP,Blake Treinen,1.0,X
10,,BE,Jason Kipnis,2.0,X
10,,BE,Dylan Bundy,15.0,X
10,,BE, Reynaldo Lopez,1.0,X
10,,BE,Jakob Junis,11.0,X
10,,BE,Kyle Gibson,1.0,X
10,,BE,Kendrys Morales,3.0,X
10,,BE,Kevin Pillar,1.0,X
10,,BE,Josh Bell,3.0,X
10,,BE,Michael Wacha,1.0,X
10,,BE,Luis Urias,1.0,X
10,,BE,,,X
10,,,,,X
10,,,,,X
11,,1B,Pete Alonso,6.0,X
11,,2B,Lourdes Gurriel jr,1.0,X
11,,3B,,,
11,,SS,Trea Turner,10.0,X
11,,OF,Bryce Harper,4.0,X
11,,OF,Victor Robles ,6.0,X
