Rank,Season_bat,Total_Points,Name_bat,Team_bat,Age_bat,Points_bat,G_bat,PA_bat,AB_bat,AVG_bat,H_bat,1B_bat,2B_bat,3B_bat,HR_bat,R_bat,RBI_bat,BB_bat,IBB_bat,SO_bat,HBP_bat,SB_bat,CS_bat,Pitches_bat,Season_pit,Name_pit,Team_pit,Age_pit,Points_pit,W_pit,L_pit,ERA_pit,ER_pit,WAR_pit,G_pit,GS_pit,CG_pit,ShO_pit,SV_pit,BS_pit,IP_pit,H_pit,R_pit,HR_pit,BB_pit,IBB_pit,HBP_pit,BK_pit,SO_pit,TBF_pit,Pitches_pit
10,2002.0,648.0,Jim Thome,Indians,31.0,648.0,147.0,613.0,480.0,0.304,146.0,73.0,19.0,2.0,52.0,101.0,118.0,122.0,18.0,139.0,5.0,1.0,2.0,2556.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2002.0,639.0,Shawn Green,Dodgers,29.0,639.0,158.0,685.0,582.0,0.285,166.0,92.0,31.0,1.0,42.0,110.0,114.0,93.0,22.0,112.0,5.0,8.0,5.0,2470.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2002.0,637.3,Pedro Martinez,Red Sox,30.0,-1.0,30.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,31.0,2002.0,Pedro Martinez,Red Sox,30.0,638.3,20.0,4.0,2.26,50.0,7.4,30.0,30.0,2.0,0.0,0.0,0.0,199.1,144.0,62.0,13.0,40.0,1.0,15.0,0.0,239.0,787.0,3096.0
13,2002.0,634.0,Sammy Sosa,Cubs,33.0,634.0,150.0,666.0,556.0,0.28800000000000003,160.0,90.0,19.0,2.0,49.0,122.0,108.0,103.0,15.0,144.0,3.0,2.0,0.0,2744.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2002.0,630.0,Rafael Palmeiro,Rangers,37.0,630.0,155.0,663.0,546.0,0.273,149.0,72.0,34.0,0.0,43.0,99.0,105.0,104.0,16.0,94.0,6.0,2.0,0.0,2719.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2002.0,628.0,Todd Helton,Rockies,28.0,628.0,156.0,668.0,553.0,0.329,182.0,109.0,39.0,4.0,30.0,107.0,109.0,99.0,21.0,91.0,5.0,5.0,1.0,2745.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2002.0,605.0,Miguel Tejada,Athletics,28.0,605.0,162.0,715.0,662.0,0.308,204.0,140.0,30.0,0.0,34.0,108.0,131.0,38.0,3.0,84.0,11.0,7.0,2.0,2763.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2002.0,594.0,Jeff Kent,Giants,34.0,594.0,152.0,682.0,623.0,0.313,195.0,114.0,42.0,2.0,37.0,102.0,108.0,52.0,3.0,101.0,4.0,5.0,1.0,2367.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2002.0,589.0,Nomar Garciaparra,Red Sox,28.0,589.0,156.0,693.0,635.0,0.31,197.0,112.0,56.0,5.0,24.0,101.0,120.0,41.0,4.0,63.0,6.0,5.0,2.0,2122.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2002.0,584.0,Alfonso Soriano,Yankees,26.0,584.0,156.0,741.0,696.0,0.3,209.0,117.0,51.0,2.0,39.0,128.0,102.0,23.0,1.0,157.0,14.0,41.0,13.0,2657.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2002.0,583.0,Chipper Jones,Braves,30.0,583.0,158.0,662.0,548.0,0.327,179.0,117.0,35.0,1.0,26.0,90.0,100.0,107.0,23.0,89.0,2.0,8.0,2.0,2416.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2002.0,581.0,Garret Anderson,Angels,30.0,581.0,158.0,678.0,638.0,0.306,195.0,107.0,56.0,3.0,29.0,93.0,123.0,30.0,11.0,80.0,0.0,6.0,4.0,2123.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2002.0,563.3,Barry Zito,Athletics,24.0,-3.0,35.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,2002.0,Barry Zito,Athletics,24.0,566.3,23.0,5.0,2.75,70.0,4.5,35.0,35.0,1.0,0.0,0.0,0.0,229.1,182.0,79.0,24.0,78.0,2.0,9.0,1.0,182.0,939.0,3702.0
23,2002.0,561.0,Carlos Beltran,Royals,25.0,561.0,162.0,722.0,637.0,0.273,174.0,94.0,44.0,7.0,29.0,114.0,105.0,71.0,1.0,135.0,4.0,35.0,7.0,2869.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2002.0,558.3,Odalis Perez,Dodgers,25.0,17.0,32.0,75.0,64.0,0.156,10.0,4.0,5.0,0.0,1.0,5.0,4.0,1.0,0.0,13.0,0.0,0.0,0.0,197.0,2002.0,Odalis Perez,Dodgers,25.0,541.3,15.0,10.0,3.0,74.0,4.9,32.0,32.0,4.0,2.0,0.0,0.0,222.1,182.0,76.0,21.0,38.0,5.0,4.0,3.0,155.0,869.0,3027.0
25,2002.0,552.3,Bartolo Colon,- - -,29.0,-13.0,33.0,49.0,45.0,0.133,6.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,23.0,1.0,0.0,0.0,159.0,2002.0,Bartolo Colon,- - -,29.0,565.3,20.0,8.0,2.93,76.0,4.4,33.0,33.0,8.0,3.0,0.0,0.0,233.1,219.0,85.0,20.0,70.0,5.0,2.0,0.0,149.0,966.0,3553.0
26,2002.0,551.0,Pat Burrell,Phillies,25.0,551.0,157.0,684.0,586.0,0.282,165.0,87.0,39.0,2.0,37.0,96.0,116.0,89.0,9.0,153.0,3.0,1.0,0.0,2830.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2002.0,549.0,Carlos Delgado,Blue Jays,30.0,549.0,143.0,628.0,505.0,0.277,140.0,71.0,34.0,2.0,33.0,103.0,108.0,102.0,18.0,126.0,13.0,1.0,0.0,2495.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2002.0,545.0,Luis Gonzalez,Diamondbacks,34.0,545.0,148.0,633.0,524.0,0.28800000000000003,151.0,101.0,19.0,3.0,28.0,90.0,103.0,97.0,8.0,76.0,5.0,9.0,2.0,2517.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2002.0,541.0,Manny Ramirez,Red Sox,30.0,541.0,120.0,518.0,436.0,0.349,152.0,88.0,31.0,0.0,33.0,84.0,107.0,73.0,14.0,85.0,8.0,0.0,0.0,2091.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2002.0,541.0,Bernie Williams,Yankees,33.0,541.0,154.0,699.0,612.0,0.333,204.0,146.0,37.0,2.0,19.0,102.0,102.0,83.0,7.0,97.0,3.0,8.0,4.0,2594.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2002.0,540.0,John Olerud,Mariners,33.0,540.0,154.0,668.0,553.0,0.3,166.0,105.0,39.0,0.0,22.0,85.0,102.0,98.0,6.0,66.0,5.0,0.0,0.0,2626.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2002.0,540.0,Bobby Abreu,Phillies,28.0,540.0,157.0,685.0,572.0,0.308,176.0,100.0,50.0,6.0,20.0,102.0,85.0,104.0,9.0,117.0,3.0,31.0,12.0,2960.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2002.0,538.0,Ryan Klesko,Padres,31.0,538.0,146.0,625.0,540.0,0.3,162.0,93.0,39.0,1.0,29.0,90.0,95.0,76.0,11.0,86.0,4.0,6.0,2.0,2300.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2002.0,537.0,Larry Walker,Rockies,35.0,537.0,136.0,553.0,477.0,0.338,161.0,91.0,40.0,4.0,26.0,95.0,104.0,65.0,6.0,73.0,7.0,6.0,5.0,1908.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2002.0,533.0,Jeff Bagwell,Astros,34.0,533.0,158.0,691.0,571.0,0.29100000000000004,166.0,100.0,33.0,2.0,31.0,94.0,98.0,101.0,8.0,130.0,10.0,7.0,3.0,2768.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2002.0,531.3,Roy Halladay,Blue Jays,25.0,-1.0,34.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,2002.0,Roy Halladay,Blue Jays,25.0,532.3,19.0,7.0,2.93,78.0,6.8,34.0,34.0,2.0,1.0,0.0,0.0,239.1,223.0,93.0,10.0,62.0,6.0,7.0,1.0,168.0,993.0,3509.0
37,2002.0,531.0,Scott Rolen,- - -,27.0,531.0,155.0,667.0,580.0,0.266,154.0,86.0,29.0,8.0,31.0,89.0,110.0,72.0,4.0,102.0,12.0,8.0,4.0,2689.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2002.0,528.0,Eric Chavez,Athletics,24.0,528.0,153.0,653.0,585.0,0.275,161.0,93.0,31.0,3.0,34.0,87.0,109.0,65.0,13.0,119.0,1.0,8.0,3.0,2531.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2002.0,525.0,Jose Vidro,Expos,27.0,525.0,152.0,681.0,604.0,0.315,190.0,125.0,43.0,3.0,19.0,103.0,96.0,60.0,1.0,70.0,3.0,2.0,1.0,2612.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2002.0,522.0,Roy Oswalt,Astros,24.0,-1.0,35.0,89.0,77.0,0.13,10.0,8.0,2.0,0.0,0.0,5.0,4.0,4.0,0.0,26.0,1.0,0.0,0.0,323.0,2002.0,Roy Oswalt,Astros,24.0,523.0,19.0,9.0,3.01,78.0,6.2,35.0,34.0,0.0,0.0,0.0,0.0,233.0,215.0,86.0,17.0,62.0,4.0,5.0,0.0,208.0,956.0,3428.0
41,2002.0,514.5999999999998,Derek Lowe,Red Sox,29.0,2.0,32.0,5.0,3.0,0.333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,2002.0,Derek Lowe,Red Sox,29.0,512.5999999999998,21.0,8.0,2.58,63.0,4.6,32.0,32.0,1.0,1.0,0.0,0.0,219.2,166.0,65.0,12.0,48.0,0.0,12.0,0.0,127.0,854.0,3076.0
42,2002.0,512.3,A.J. Burnett,Marlins,25.0,-6.0,31.0,69.0,57.0,0.105,6.0,3.0,2.0,0.0,1.0,1.0,3.0,5.0,0.0,28.0,0.0,0.0,0.0,255.0,2002.0,A.J. Burnett,Marlins,25.0,518.3,12.0,9.0,3.3,75.0,4.8,31.0,29.0,7.0,5.0,0.0,1.0,204.1,153.0,84.0,12.0,90.0,5.0,9.0,0.0,203.0,844.0,3265.0
43,2002.0,510.0,Johnny Damon,Red Sox,28.0,510.0,154.0,702.0,623.0,0.28600000000000003,178.0,119.0,34.0,11.0,14.0,118.0,63.0,65.0,5.0,70.0,6.0,31.0,6.0,2740.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2002.0,507.0,Mike Sweeney,Royals,28.0,507.0,126.0,545.0,471.0,0.34,160.0,104.0,31.0,1.0,24.0,81.0,86.0,61.0,10.0,46.0,6.0,9.0,7.0,2030.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2002.0,502.0,Ichiro Suzuki,Mariners,28.0,502.0,157.0,728.0,647.0,0.321,208.0,165.0,27.0,8.0,8.0,111.0,51.0,68.0,27.0,62.0,5.0,31.0,15.0,2622.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2002.0,499.0,Kevin Millwood,Braves,27.0,13.0,35.0,82.0,70.0,0.2,14.0,8.0,5.0,0.0,1.0,5.0,11.0,0.0,0.0,27.0,0.0,0.0,0.0,267.0,2002.0,Kevin Millwood,Braves,27.0,486.0,18.0,8.0,3.24,78.0,4.6,35.0,34.0,1.0,1.0,0.0,0.0,217.0,186.0,83.0,16.0,65.0,7.0,8.0,0.0,178.0,895.0,3338.0
47,2002.0,499.0,Gary Sheffield,Braves,33.0,499.0,135.0,579.0,492.0,0.307,151.0,100.0,26.0,0.0,25.0,82.0,84.0,72.0,2.0,53.0,11.0,12.0,2.0,2202.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2002.0,499.0,Andruw Jones,Braves,25.0,499.0,154.0,659.0,560.0,0.264,148.0,79.0,34.0,0.0,35.0,91.0,94.0,83.0,4.0,135.0,10.0,8.0,3.0,2537.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2002.0,497.3,Tim Hudson,Athletics,26.0,3.0,34.0,6.0,5.0,0.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,2002.0,Tim Hudson,Athletics,26.0,494.3,15.0,9.0,2.98,79.0,4.7,34.0,34.0,4.0,2.0,0.0,0.0,238.1,237.0,87.0,19.0,62.0,9.0,8.0,1.0,152.0,983.0,3455.0
50,2002.0,497.0,Paul Konerko,White Sox,26.0,497.0,151.0,630.0,570.0,0.304,173.0,116.0,30.0,0.0,27.0,81.0,104.0,44.0,2.0,72.0,9.0,0.0,0.0,2309.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2002.0,497.0,Cliff Floyd,- - -,29.0,497.0,146.0,609.0,520.0,0.28800000000000003,150.0,79.0,43.0,0.0,28.0,86.0,79.0,76.0,19.0,106.0,10.0,15.0,5.0,2236.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2002.0,496.0,Derek Jeter,Yankees,28.0,496.0,157.0,730.0,644.0,0.297,191.0,147.0,26.0,0.0,18.0,124.0,75.0,73.0,2.0,114.0,7.0,32.0,3.0,2740.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2002.0,489.3,Eric Gagne,Dodgers,26.0,-1.0,77.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2002.0,Eric Gagne,Dodgers,26.0,490.3,4.0,1.0,1.97,18.0,3.6,77.0,0.0,0.0,0.0,52.0,4.0,82.1,55.0,18.0,6.0,16.0,4.0,2.0,0.0,114.0,314.0,1247.0
54,2002.0,488.5999999999999,Jamie Moyer,Mariners,39.0,-1.0,34.0,5.0,5.0,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,2002.0,Jamie Moyer,Mariners,39.0,489.5999999999999,13.0,8.0,3.32,85.0,3.8,34.0,34.0,4.0,2.0,0.0,0.0,230.2,198.0,89.0,28.0,50.0,4.0,9.0,0.0,147.0,931.0,3447.0
55,2002.0,488.0,Mike Lowell,Marlins,28.0,488.0,160.0,678.0,597.0,0.276,165.0,97.0,44.0,0.0,24.0,88.0,92.0,65.0,5.0,92.0,4.0,4.0,3.0,2617.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2002.0,486.0,Bret Boone,Mariners,33.0,486.0,155.0,675.0,608.0,0.278,169.0,108.0,34.0,3.0,24.0,88.0,107.0,53.0,4.0,102.0,6.0,12.0,5.0,2498.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2002.0,484.0,Steve Finley,Diamondbacks,37.0,484.0,150.0,577.0,505.0,0.287,145.0,92.0,24.0,4.0,25.0,82.0,89.0,65.0,7.0,73.0,3.0,16.0,4.0,2191.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2002.0,483.0,Troy Glaus,Angels,25.0,483.0,156.0,671.0,569.0,0.25,142.0,87.0,24.0,1.0,30.0,99.0,111.0,88.0,4.0,144.0,6.0,10.0,3.0,2683.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2002.0,474.0,Mike Piazza,Mets,33.0,474.0,135.0,541.0,478.0,0.28,134.0,76.0,23.0,2.0,33.0,69.0,98.0,57.0,9.0,82.0,3.0,0.0,3.0,2090.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2002.0,474.0,Derrek Lee,Marlins,26.0,474.0,162.0,688.0,581.0,0.27,157.0,88.0,35.0,7.0,27.0,95.0,86.0,98.0,8.0,164.0,5.0,19.0,9.0,2924.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2002.0,474.0,Richie Sexson,Brewers,27.0,474.0,157.0,652.0,570.0,0.279,159.0,91.0,37.0,2.0,29.0,86.0,102.0,70.0,7.0,136.0,8.0,0.0,0.0,2491.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
