Rank,Season_bat,Total_Points,Name_bat,Team_bat,Age_bat,Points_bat,G_bat,PA_bat,AB_bat,AVG_bat,H_bat,1B_bat,2B_bat,3B_bat,HR_bat,R_bat,RBI_bat,BB_bat,IBB_bat,SO_bat,HBP_bat,SB_bat,CS_bat,Pitches_bat,Season_pit,Name_pit,Team_pit,Age_pit,Points_pit,W_pit,L_pit,ERA_pit,ER_pit,WAR_pit,G_pit,GS_pit,CG_pit,ShO_pit,SV_pit,BS_pit,IP_pit,H_pit,R_pit,HR_pit,BB_pit,IBB_pit,HBP_pit,BK_pit,SO_pit,TBF_pit,Pitches_pit
0,2002.0,893.0,Randy Johnson,Diamondbacks,38.0,-10.0,35.0,99.0,89.0,0.135,12.0,9.0,3.0,0.0,0.0,4.0,8.0,3.0,0.0,40.0,0.0,0.0,0.0,359.0,2002.0,Randy Johnson,Diamondbacks,38.0,903.0,24.0,5.0,2.32,67.0,8.1,35.0,35.0,8.0,4.0,0.0,0.0,260.0,197.0,78.0,26.0,71.0,1.0,13.0,2.0,334.0,1035.0,3993.0
1,2002.0,867.0,Barry Bonds,Giants,37.0,867.0,143.0,612.0,403.0,0.37,149.0,70.0,31.0,2.0,46.0,117.0,110.0,198.0,68.0,47.0,9.0,9.0,2.0,2398.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2002.0,792.3000000000003,Curt Schilling,Diamondbacks,35.0,3.0,36.0,98.0,86.0,0.174,15.0,15.0,0.0,0.0,0.0,7.0,3.0,4.0,0.0,26.0,0.0,0.0,0.0,338.0,2002.0,Curt Schilling,Diamondbacks,35.0,789.3000000000003,23.0,7.0,3.23,93.0,9.3,36.0,35.0,5.0,1.0,0.0,0.0,259.1,218.0,95.0,29.0,33.0,1.0,3.0,0.0,316.0,1017.0,3722.0
3,2002.0,752.0,Alex Rodriguez,Rangers,26.0,752.0,162.0,725.0,624.0,0.3,187.0,101.0,27.0,2.0,57.0,125.0,142.0,87.0,12.0,122.0,10.0,9.0,4.0,2858.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2002.0,725.0,Vladimir Guerrero,Expos,27.0,725.0,161.0,709.0,614.0,0.336,206.0,128.0,37.0,2.0,39.0,106.0,111.0,84.0,32.0,70.0,6.0,40.0,20.0,2391.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2002.0,677.0,Brian Giles,Pirates,31.0,677.0,153.0,644.0,497.0,0.298,148.0,68.0,37.0,5.0,38.0,95.0,103.0,135.0,24.0,74.0,7.0,15.0,6.0,2512.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2002.0,665.0,Lance Berkman,Astros,26.0,665.0,158.0,692.0,578.0,0.292,169.0,90.0,35.0,2.0,42.0,106.0,128.0,107.0,20.0,118.0,4.0,8.0,4.0,2744.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2002.0,660.0,Jason Giambi,Yankees,31.0,660.0,155.0,689.0,560.0,0.314,176.0,100.0,34.0,1.0,41.0,120.0,122.0,109.0,4.0,112.0,15.0,2.0,2.0,2905.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2002.0,659.0,Magglio Ordonez,White Sox,28.0,659.0,153.0,654.0,590.0,0.32,189.0,103.0,47.0,1.0,38.0,116.0,135.0,53.0,2.0,77.0,7.0,7.0,5.0,2406.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2002.0,658.0,Albert Pujols,Cardinals,22.0,658.0,157.0,675.0,590.0,0.314,185.0,109.0,40.0,2.0,34.0,118.0,127.0,72.0,13.0,69.0,9.0,2.0,4.0,2573.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
