Rank,Season_bat,Total_Points,Name_bat,Team_bat,Age_bat,Points_bat,G_bat,PA_bat,AB_bat,AVG_bat,H_bat,1B_bat,2B_bat,3B_bat,HR_bat,R_bat,RBI_bat,BB_bat,IBB_bat,SO_bat,HBP_bat,SB_bat,CS_bat,Pitches_bat,Season_pit,Name_pit,Team_pit,Age_pit,Points_pit,W_pit,L_pit,ERA_pit,ER_pit,WAR_pit,G_pit,GS_pit,CG_pit,ShO_pit,SV_pit,BS_pit,IP_pit,H_pit,R_pit,HR_pit,BB_pit,IBB_pit,HBP_pit,BK_pit,SO_pit,TBF_pit,Pitches_pit
10,2003.0,626.5999999999998,Jason Schmidt,Giants,30.0,-22.0,29.0,78.0,61.0,0.066,4.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,285.0,2003.0,Jason Schmidt,Giants,30.0,648.5999999999998,17.0,5.0,2.34,54.0,6.6,29.0,29.0,5.0,3.0,0.0,0.0,207.2,152.0,56.0,14.0,46.0,1.0,5.0,1.0,208.0,819.0,3099.0
11,2003.0,619.0,Nomar Garciaparra,Red Sox,29.0,619.0,156.0,719.0,658.0,0.301,198.0,120.0,37.0,13.0,28.0,120.0,105.0,39.0,1.0,61.0,11.0,19.0,5.0,2243.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2003.0,608.0,Aubrey Huff,Devil Rays,26.0,608.0,162.0,706.0,636.0,0.311,198.0,114.0,47.0,3.0,34.0,91.0,107.0,53.0,17.0,80.0,8.0,2.0,3.0,2484.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2003.0,604.0,Jim Thome,Phillies,32.0,604.0,159.0,698.0,578.0,0.266,154.0,74.0,30.0,3.0,47.0,111.0,131.0,111.0,11.0,182.0,4.0,0.0,3.0,2868.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2003.0,602.0,Luis Gonzalez,Diamondbacks,35.0,602.0,156.0,679.0,579.0,0.304,176.0,100.0,46.0,4.0,26.0,92.0,104.0,94.0,17.0,67.0,3.0,5.0,3.0,2645.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2003.0,596.0,Richie Sexson,Brewers,28.0,596.0,162.0,718.0,606.0,0.272,165.0,90.0,28.0,2.0,45.0,97.0,124.0,98.0,7.0,151.0,9.0,2.0,3.0,2847.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2003.0,590.0,Bret Boone,Mariners,34.0,590.0,159.0,705.0,622.0,0.294,183.0,108.0,35.0,5.0,35.0,111.0,117.0,68.0,3.0,125.0,7.0,16.0,3.0,2773.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2003.0,583.0,Rafael Palmeiro,Rangers,38.0,583.0,154.0,654.0,561.0,0.26,146.0,85.0,21.0,2.0,38.0,92.0,112.0,84.0,9.0,77.0,5.0,2.0,0.0,2664.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2003.0,583.0,Jeff Bagwell,Astros,35.0,583.0,160.0,702.0,605.0,0.278,168.0,99.0,28.0,2.0,39.0,109.0,100.0,88.0,3.0,119.0,6.0,11.0,4.0,2669.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2003.0,582.5999999999998,Javier Vazquez,Expos,26.0,17.0,34.0,79.0,65.0,0.154,10.0,9.0,0.0,1.0,0.0,5.0,6.0,2.0,0.0,8.0,0.0,0.0,0.0,265.0,2003.0,Javier Vazquez,Expos,26.0,565.5999999999998,13.0,12.0,3.24,83.0,6.0,34.0,34.0,4.0,1.0,0.0,0.0,230.2,198.0,93.0,28.0,57.0,5.0,4.0,1.0,241.0,938.0,3734.0
20,2003.0,581.0,Alfonso Soriano,Yankees,27.0,581.0,156.0,734.0,682.0,0.29,198.0,119.0,36.0,5.0,38.0,114.0,91.0,38.0,7.0,130.0,12.0,35.0,8.0,2606.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2003.0,574.0,Chipper Jones,Braves,31.0,574.0,153.0,656.0,555.0,0.305,169.0,107.0,33.0,2.0,27.0,103.0,106.0,94.0,13.0,83.0,1.0,2.0,2.0,2416.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,573.3,Eric Gagne,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.0,Eric Gagne,Dodgers,27.0,573.3,2.0,3.0,1.2,11.0,4.7,77.0,0.0,0.0,0.0,55.0,0.0,82.1,37.0,12.0,2.0,20.0,2.0,3.0,0.0,137.0,306.0,1190.0
23,2003.0,572.0,Magglio Ordonez,White Sox,29.0,572.0,160.0,674.0,606.0,0.317,192.0,114.0,46.0,3.0,29.0,95.0,99.0,57.0,1.0,73.0,7.0,9.0,5.0,2434.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2003.0,572.0,Frank Thomas,White Sox,35.0,572.0,153.0,662.0,546.0,0.267,146.0,69.0,35.0,0.0,42.0,87.0,105.0,100.0,4.0,115.0,12.0,0.0,0.0,2817.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2003.0,567.0,Jason Giambi,Yankees,32.0,567.0,156.0,690.0,535.0,0.25,134.0,68.0,25.0,0.0,41.0,97.0,107.0,129.0,9.0,140.0,21.0,2.0,1.0,2913.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2003.0,565.0,Tim Hudson,Athletics,27.0,1.0,34.0,3.0,3.0,0.333,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,2003.0,Tim Hudson,Athletics,27.0,564.0,16.0,7.0,2.7,72.0,5.8,34.0,34.0,3.0,2.0,0.0,0.0,240.0,197.0,84.0,15.0,61.0,9.0,10.0,0.0,162.0,967.0,3494.0
27,2003.0,563.0,Miguel Tejada,Athletics,29.0,563.0,162.0,703.0,636.0,0.278,177.0,108.0,42.0,0.0,27.0,98.0,106.0,53.0,7.0,65.0,6.0,10.0,0.0,2694.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2003.0,560.0,Garret Anderson,Angels,31.0,560.0,159.0,673.0,638.0,0.315,201.0,119.0,49.0,4.0,29.0,80.0,116.0,31.0,10.0,83.0,0.0,6.0,3.0,2202.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2003.0,558.0,Carlos Beltran,Royals,26.0,558.0,141.0,602.0,521.0,0.307,160.0,110.0,14.0,10.0,26.0,102.0,100.0,72.0,4.0,81.0,2.0,41.0,4.0,2318.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2003.0,554.0,Edgar Renteria,Cardinals,26.0,554.0,157.0,663.0,587.0,0.33,194.0,133.0,47.0,1.0,13.0,96.0,100.0,65.0,12.0,54.0,1.0,34.0,7.0,2355.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2003.0,553.3,Esteban Loaiza,White Sox,31.0,0.0,34.0,6.0,5.0,0.2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,2003.0,Esteban Loaiza,White Sox,31.0,553.3,21.0,9.0,2.9,73.0,6.9,34.0,34.0,1.0,0.0,0.0,0.0,226.1,196.0,75.0,17.0,56.0,2.0,10.0,1.0,207.0,922.0,3503.0
32,2003.0,552.0,Preston Wilson,Rockies,28.0,552.0,155.0,661.0,600.0,0.282,169.0,89.0,43.0,1.0,36.0,94.0,141.0,54.0,1.0,139.0,4.0,14.0,7.0,2488.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2003.0,549.5999999999998,Pedro Martinez,Red Sox,31.0,0.0,29.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2003.0,Pedro Martinez,Red Sox,31.0,549.5999999999998,14.0,4.0,2.22,46.0,7.4,29.0,29.0,3.0,0.0,0.0,0.0,186.2,147.0,52.0,7.0,47.0,0.0,9.0,0.0,206.0,749.0,2831.0
34,2003.0,549.0,Kerry Wood,Cubs,26.0,6.0,32.0,70.0,61.0,0.16399999999999998,10.0,7.0,1.0,0.0,2.0,4.0,6.0,1.0,0.0,26.0,0.0,0.0,0.0,230.0,2003.0,Kerry Wood,Cubs,26.0,543.0,14.0,11.0,3.2,75.0,4.2,32.0,32.0,4.0,2.0,0.0,0.0,211.0,152.0,77.0,24.0,100.0,2.0,21.0,0.0,266.0,887.0,3542.0
35,2003.0,548.0,Carlos Lee,White Sox,27.0,548.0,158.0,671.0,623.0,0.29100000000000004,181.0,114.0,35.0,1.0,31.0,100.0,113.0,37.0,2.0,91.0,4.0,18.0,4.0,2559.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2003.0,546.0,Scott Rolen,Cardinals,28.0,546.0,154.0,657.0,559.0,0.28600000000000003,160.0,82.0,49.0,1.0,28.0,98.0,104.0,82.0,5.0,104.0,9.0,13.0,3.0,2730.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2003.0,545.0,Javy Lopez,Braves,32.0,545.0,129.0,495.0,457.0,0.328,150.0,75.0,29.0,3.0,43.0,89.0,109.0,33.0,5.0,90.0,4.0,0.0,1.0,1766.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2003.0,544.0,Lance Berkman,Astros,27.0,544.0,153.0,658.0,538.0,0.28800000000000003,155.0,89.0,35.0,6.0,25.0,110.0,93.0,107.0,13.0,108.0,9.0,5.0,3.0,2610.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2003.0,543.0,Eric Chavez,Athletics,25.0,543.0,156.0,654.0,588.0,0.282,166.0,93.0,39.0,5.0,29.0,94.0,101.0,62.0,10.0,89.0,1.0,8.0,3.0,2539.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2003.0,541.3,Livan Hernandez,Expos,28.0,10.0,33.0,82.0,74.0,0.189,14.0,13.0,1.0,0.0,0.0,2.0,6.0,1.0,0.0,14.0,1.0,0.0,0.0,243.0,2003.0,Livan Hernandez,Expos,28.0,531.3,15.0,10.0,3.2,83.0,4.4,33.0,33.0,8.0,0.0,0.0,0.0,233.1,225.0,92.0,27.0,57.0,3.0,10.0,1.0,178.0,967.0,3571.0
41,2003.0,534.0,Brian Giles,- - -,32.0,534.0,134.0,609.0,492.0,0.299,147.0,87.0,34.0,6.0,20.0,93.0,88.0,105.0,12.0,58.0,8.0,4.0,3.0,2162.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2003.0,525.0,Andruw Jones,Braves,26.0,525.0,156.0,659.0,595.0,0.277,165.0,99.0,28.0,2.0,36.0,101.0,116.0,53.0,2.0,125.0,5.0,4.0,3.0,2315.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2003.0,524.0,Rafael Furcal,Braves,25.0,524.0,156.0,734.0,664.0,0.292,194.0,134.0,35.0,10.0,15.0,130.0,61.0,60.0,2.0,76.0,3.0,25.0,2.0,2849.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2003.0,519.0,Bobby Abreu,Phillies,29.0,519.0,158.0,695.0,577.0,0.3,173.0,117.0,35.0,1.0,20.0,99.0,101.0,109.0,13.0,126.0,2.0,22.0,9.0,2999.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2003.0,516.0,Jay Payton,Rockies,30.0,516.0,157.0,658.0,600.0,0.302,181.0,116.0,32.0,5.0,28.0,93.0,89.0,43.0,3.0,77.0,7.0,6.0,4.0,2215.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2003.0,514.5999999999998,Mike Mussina,Yankees,34.0,0.0,31.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2003.0,Mike Mussina,Yankees,34.0,514.5999999999998,17.0,8.0,3.4,81.0,6.1,31.0,31.0,2.0,1.0,0.0,0.0,214.2,192.0,86.0,21.0,40.0,4.0,3.0,0.0,195.0,855.0,3238.0
47,2003.0,510.0,Orlando Cabrera,Expos,28.0,510.0,162.0,691.0,626.0,0.297,186.0,120.0,47.0,2.0,17.0,95.0,80.0,52.0,3.0,64.0,1.0,24.0,2.0,2501.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2003.0,508.0,Bartolo Colon,White Sox,30.0,-3.0,34.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,20.0,2003.0,Bartolo Colon,White Sox,30.0,511.0,15.0,13.0,3.87,104.0,4.7,34.0,34.0,9.0,0.0,0.0,0.0,242.0,223.0,107.0,30.0,67.0,3.0,5.0,3.0,173.0,984.0,3523.0
49,2003.0,496.0,Derrek Lee,Marlins,27.0,496.0,155.0,643.0,539.0,0.271,146.0,82.0,31.0,2.0,31.0,91.0,92.0,88.0,7.0,131.0,10.0,21.0,8.0,2621.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2003.0,495.0,Sammy Sosa,Cubs,34.0,495.0,137.0,589.0,517.0,0.279,144.0,82.0,22.0,0.0,40.0,99.0,103.0,62.0,9.0,143.0,5.0,0.0,1.0,2360.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2003.0,495.0,Ichiro Suzuki,Mariners,29.0,495.0,159.0,725.0,679.0,0.312,212.0,162.0,29.0,8.0,13.0,111.0,62.0,36.0,7.0,69.0,6.0,34.0,8.0,2537.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2003.0,493.0,Marcus Giles,Braves,25.0,493.0,145.0,635.0,551.0,0.316,174.0,102.0,49.0,2.0,21.0,101.0,69.0,59.0,2.0,80.0,11.0,14.0,4.0,2215.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2003.0,493.0,Richard Hidalgo,Astros,28.0,493.0,141.0,585.0,514.0,0.309,159.0,84.0,43.0,4.0,28.0,91.0,88.0,58.0,8.0,104.0,8.0,9.0,7.0,2224.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2003.0,492.0,Mike Lowell,Marlins,29.0,492.0,130.0,557.0,492.0,0.276,136.0,76.0,27.0,1.0,32.0,76.0,105.0,56.0,6.0,78.0,3.0,3.0,1.0,2163.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2003.0,490.0,David Ortiz,Red Sox,27.0,490.0,128.0,509.0,448.0,0.28800000000000003,129.0,57.0,39.0,2.0,31.0,79.0,101.0,58.0,8.0,83.0,1.0,0.0,0.0,2065.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2003.0,488.0,Carl Everett,- - -,32.0,488.0,147.0,602.0,526.0,0.287,151.0,93.0,27.0,3.0,28.0,93.0,92.0,53.0,6.0,84.0,15.0,8.0,4.0,2279.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2003.0,486.0,Jim Edmonds,Cardinals,33.0,486.0,137.0,531.0,447.0,0.275,123.0,50.0,32.0,2.0,39.0,89.0,89.0,77.0,6.0,127.0,4.0,1.0,3.0,2192.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2003.0,484.0,Moises Alou,Cubs,36.0,484.0,151.0,638.0,565.0,0.28,158.0,100.0,35.0,1.0,22.0,83.0,91.0,63.0,7.0,67.0,7.0,3.0,1.0,2237.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2003.0,483.0,Kevin Brown,Dodgers,38.0,-9.0,32.0,70.0,63.0,0.159,10.0,7.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,28.0,0.0,0.0,0.0,223.0,2003.0,Kevin Brown,Dodgers,38.0,492.0,14.0,9.0,2.39,56.0,6.1,32.0,32.0,0.0,0.0,0.0,0.0,211.0,184.0,67.0,11.0,56.0,2.0,5.0,1.0,185.0,856.0,3102.0
60,2003.0,481.0,Jay Gibbons,Orioles,26.0,481.0,160.0,687.0,630.0,0.275,173.0,109.0,39.0,2.0,23.0,80.0,100.0,49.0,11.0,89.0,3.0,0.0,1.0,2371.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2003.0,480.0,Jorge Posada,Yankees,31.0,480.0,142.0,588.0,481.0,0.281,135.0,81.0,24.0,0.0,30.0,83.0,101.0,93.0,6.0,110.0,10.0,2.0,4.0,2321.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
