Rank,Season_bat,Total_Points,Name_bat,Team_bat,Age_bat,Points_bat,G_bat,PA_bat,AB_bat,AVG_bat,H_bat,1B_bat,2B_bat,3B_bat,HR_bat,R_bat,RBI_bat,BB_bat,IBB_bat,SO_bat,HBP_bat,SB_bat,CS_bat,Pitches_bat,Season_pit,Name_pit,Team_pit,Age_pit,Points_pit,W_pit,L_pit,ERA_pit,ER_pit,WAR_pit,G_pit,GS_pit,CG_pit,ShO_pit,SV_pit,BS_pit,IP_pit,H_pit,R_pit,HR_pit,BB_pit,IBB_pit,HBP_pit,BK_pit,SO_pit,TBF_pit,Pitches_pit
0,2003.0,771.0,Albert Pujols,Cardinals,23.0,771.0,157.0,685.0,591.0,0.359,212.0,117.0,51.0,1.0,43.0,137.0,124.0,79.0,12.0,65.0,10.0,5.0,1.0,2518.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2003.0,741.0,Barry Bonds,Giants,38.0,741.0,130.0,550.0,390.0,0.341,133.0,65.0,22.0,1.0,45.0,111.0,90.0,148.0,61.0,58.0,10.0,7.0,0.0,2175.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2003.0,741.0,Todd Helton,Rockies,29.0,741.0,160.0,703.0,583.0,0.358,209.0,122.0,49.0,5.0,33.0,135.0,117.0,111.0,21.0,72.0,2.0,0.0,4.0,2826.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2003.0,735.0,Gary Sheffield,Braves,34.0,735.0,155.0,678.0,576.0,0.33,190.0,112.0,37.0,2.0,39.0,126.0,132.0,86.0,6.0,55.0,8.0,18.0,4.0,2539.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2003.0,696.0,Roy Halladay,Blue Jays,26.0,0.0,36.0,9.0,9.0,0.111,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,27.0,2003.0,Roy Halladay,Blue Jays,26.0,696.0,22.0,7.0,3.25,96.0,7.0,36.0,36.0,9.0,2.0,0.0,0.0,266.0,253.0,111.0,26.0,32.0,1.0,9.0,1.0,204.0,1071.0,3627.0
5,2003.0,685.0,Alex Rodriguez,Rangers,27.0,685.0,161.0,715.0,607.0,0.298,181.0,98.0,30.0,6.0,47.0,124.0,118.0,87.0,10.0,126.0,15.0,17.0,3.0,2747.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2003.0,679.0,Carlos Delgado,Blue Jays,31.0,679.0,161.0,705.0,570.0,0.302,172.0,91.0,38.0,1.0,42.0,117.0,145.0,109.0,23.0,137.0,19.0,0.0,0.0,2803.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2003.0,662.0,Manny Ramirez,Red Sox,31.0,662.0,154.0,679.0,569.0,0.325,185.0,111.0,36.0,1.0,37.0,117.0,104.0,97.0,28.0,94.0,8.0,3.0,1.0,2660.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2003.0,641.0,Vernon Wells,Blue Jays,24.0,641.0,161.0,735.0,678.0,0.317,215.0,128.0,49.0,5.0,33.0,118.0,117.0,42.0,2.0,80.0,7.0,4.0,1.0,2420.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2003.0,635.3,Mark Prior,Cubs,22.0,14.0,32.0,81.0,72.0,0.25,18.0,13.0,4.0,0.0,1.0,6.0,6.0,2.0,0.0,27.0,0.0,0.0,0.0,288.0,2003.0,Mark Prior,Cubs,22.0,621.3,18.0,6.0,2.43,57.0,7.8,30.0,30.0,3.0,1.0,0.0,0.0,211.1,183.0,67.0,15.0,50.0,4.0,9.0,0.0,245.0,863.0,3399.0
