Rank,Season_bat,Total_Points,Name_bat,Team_bat,Age_bat,Points_bat,G_bat,PA_bat,AB_bat,AVG_bat,H_bat,1B_bat,2B_bat,3B_bat,HR_bat,R_bat,RBI_bat,BB_bat,IBB_bat,SO_bat,HBP_bat,SB_bat,CS_bat,Pitches_bat,Season_pit,Name_pit,Team_pit,Age_pit,Points_pit,W_pit,L_pit,ERA_pit,ER_pit,WAR_pit,G_pit,GS_pit,CG_pit,ShO_pit,SV_pit,BS_pit,IP_pit,H_pit,R_pit,HR_pit,BB_pit,IBB_pit,HBP_pit,BK_pit,SO_pit,TBF_pit,Pitches_pit
0,2000.0,840.0,Todd Helton,Rockies,26.0,840.0,160.0,697.0,580.0,0.3720000000000001,216.0,113.0,59.0,2.0,42.0,138.0,147.0,103.0,22.0,61.0,4.0,5.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000.0,748.0,Carlos Delgado,Blue Jays,28.0,748.0,162.0,711.0,569.0,0.344,196.0,97.0,57.0,1.0,41.0,115.0,137.0,123.0,18.0,104.0,15.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000.0,746.0,Jeff Bagwell,Astros,32.0,746.0,159.0,719.0,590.0,0.31,183.0,98.0,37.0,1.0,47.0,152.0,132.0,107.0,11.0,116.0,15.0,9.0,6.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2000.0,742.0,Frank Thomas,White Sox,32.0,742.0,159.0,707.0,582.0,0.328,191.0,104.0,44.0,0.0,43.0,115.0,143.0,112.0,18.0,94.0,5.0,1.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2000.0,733.0,Barry Bonds,Giants,35.0,733.0,143.0,607.0,480.0,0.306,147.0,66.0,28.0,4.0,49.0,129.0,106.0,117.0,22.0,77.0,3.0,11.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2000.0,710.0,Jason Giambi,Athletics,29.0,710.0,152.0,664.0,510.0,0.333,170.0,97.0,29.0,1.0,43.0,108.0,137.0,137.0,6.0,96.0,9.0,2.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2000.0,700.0,Brian Giles,Pirates,29.0,700.0,156.0,688.0,559.0,0.315,176.0,97.0,37.0,7.0,35.0,111.0,123.0,114.0,13.0,69.0,7.0,6.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2000.0,697.0,Vladimir Guerrero,Expos,25.0,697.0,154.0,641.0,571.0,0.345,197.0,114.0,28.0,11.0,44.0,101.0,123.0,58.0,23.0,74.0,8.0,9.0,10.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2000.0,679.0,Alex Rodriguez,Mariners,24.0,679.0,148.0,672.0,554.0,0.316,175.0,98.0,34.0,2.0,41.0,134.0,132.0,100.0,5.0,121.0,7.0,15.0,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2000.0,677.0,Chipper Jones,Braves,28.0,677.0,156.0,686.0,579.0,0.311,180.0,105.0,38.0,1.0,36.0,118.0,111.0,95.0,10.0,64.0,2.0,14.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
